DR_anticipation,DR_default
0.0,0.233
0.0,0.195
0.0,0.24
0.0,0.201
0.0,0.177
0.0,0.2085
0.0,0.2075
0.0,0.1905
0.0,0.22
0.0,0.253
0.0,0.212
0.0,0.1645
0.0,0.21
0.0,0.23
0.0,0.165
0.0,0.273
0.0,0.228
0.0,0.2175
0.0,0.237
0.0,0.2195
0.0,0.25
0.0,0.1935
0.0,0.2975
0.0,0.222
0.0,0.234
0.0,0.223
0.0,0.1875
0.0,0.2935
0.0,0.239
0.0,0.193
0.0,0.196
0.0,0.2225
0.0,0.166
0.0,0.188
0.0,0.2315
0.0,0.235
0.0,0.22
0.0,0.2455
0.0,0.2085
0.0,0.2875
0.0,0.2195
0.0,0.2415
0.0,0.1695
0.0,0.2045
0.0,0.23
0.0,0.171
0.0,0.1875
0.0,0.1975
0.0,0.2175
0.0,0.1795
0.0,0.2415
0.0,0.1955
0.0,0.1885
0.0,0.2075
0.0,0.2175
0.0,0.201
0.0,0.2165
0.0,0.207
0.0,0.2085
0.0,0.195
0.0,0.21
0.0,0.1745
0.0,0.2425
0.0,0.2555
0.0,0.2015
0.0,0.1655
0.0,0.214
0.0,0.195
0.0,0.177
0.0,0.2575
0.0,0.166
0.0,0.223
0.0,0.208
0.0,0.1795
0.0,0.2295
0.0,0.1905
0.0,0.141
0.0,0.1935
0.0,0.2255
0.0,0.212
0.0,0.2355
0.0,0.1895
0.0,0.196
0.0,0.2215
0.0,0.1745
0.0,0.2345
0.0,0.2405
0.0,0.2015
0.0,0.221
0.0,0.274
0.0,0.2735
0.0,0.2145
0.0,0.227
0.0,0.194
0.0,0.2485
0.0,0.2125
0.0,0.2275
0.0,0.278
0.0,0.3235
0.0,0.2435
