DR_anticipation,DR_default,,,
0,0.101,,,
0,0.121,,,
0,0.0525,,mean,0.08264
0,0.0835,,,0.08375
0,0.103,,upper quant,0.10375
0,0.148,,,0.06275
0,0.1085,,,0.029415439
0,0.0845,,,
0,0.078,,,
0,0.0505,,,
0,0.0875,,,
0,0.0105,,,
0,0.104,,,
0,0.087,,,
0,0.074,,,
0,0.1165,,,
0,0.0775,,,
0,0.022,,,
0,0.0735,,,
0,0.1205,,,
0,0.055,,,
0,0.127,,,
0,0.1215,,,
0,0.079,,,
0,0.083,,,
0,0.056,,,
0,0.1085,,,
0,0.0375,,,
0,0.0895,,,
0,0.1315,,,
0,0.1265,,,
0,0.0885,,,
0,0.0385,,,
0,0.084,,,
0,0.1085,,,
0,0.051,,,
0,0.109,,,
0,0.097,,,
0,0.0825,,,
0,0.087,,,
0,0.082,,,
0,0.0635,,,
0,0.083,,,
0,0.0865,,,
0,0.103,,,
0,0.074,,,
0,0.0955,,,
0,0.1105,,,
0,0.1085,,,
0,0.1255,,,
0,0.0515,,,
0,0.1245,,,
0,0.0635,,,
0,0.0415,,,
0,0.0795,,,
0,0.0695,,,
0,0.0215,,,
0,0.061,,,
0,0.0345,,,
0,0.097,,,
0,0.0615,,,
0,0.0465,,,
0,0.1215,,,
0,0.094,,,
0,0.075,,,
0,0.044,,,
0,0.115,,,
0,0.102,,,
0,0.08,,,
0,0.07,,,
0,0.02,,,
0,0.108,,,
0,0.0395,,,
0,0.114,,,
0,0.0565,,,
0,0.064,,,
0,0.07,,,
0,0.104,,,
0,0.072,,,
0,0.0315,,,
0,0.083,,,
0,0.041,,,
0,0.085,,,
0,0.094,,,
0,0.1475,,,
0,0.095,,,
0,0.104,,,
0,0.1235,,,
0,0.0815,,,
0,0.0955,,,
0,0.097,,,
0,0.05,,,
0,0.0785,,,
0,0.0695,,,
0,0.099,,,
0,0.0895,,,
0,0.0985,,,
0,0.037,,,
0,0.103,,,
0,0.0625,,,
