,Anticipative,,,,Default_1b,,,,
index,mean,std,max,min,index,mean,std,max,min
1,66.66666667,2.772884579,74,59,1,66.66666667,2.832352771,72,61
2,66.66666667,3.036811193,73,59,2,66.66666667,2.611938403,72,62
3,66.66666667,3.238655414,71,57,3,66.66666667,1.972026594,71,63
4,66.66666667,9.713678786,73,21,4,66.66666667,2.494438258,71,62
5,66.66666667,6.674994798,73,42,5,66.66666667,2.936362073,72,61
6,66.66666667,7.854227453,79,45,6,66.66666667,2.637338726,73,62
7,66.66666667,3.918616536,73,57,7,66.66666667,3.457680661,75,60
8,66.66666667,3.155242551,71,56,8,66.66666667,2.03851798,70,62
9,66.66666667,3.875851161,73,54,9,66.66666667,3.399346342,75,60
10,66.66666667,5.242984731,73,44,10,66.66666667,3.00370142,74,60
11,66.66666667,2.844097201,72,61,11,66.66666667,2.649947589,72,60
12,66.66666667,4.599516883,73,55,12,66.66666667,2.748737084,71,61
13,66.66666667,3.00370142,72,60,13,66.66666667,3.080404014,73,61
14,66.66666667,10.14998632,78,20,14,66.66666667,2.958978803,74,61
15,66.66666667,2.547329757,72,60,15,66.66666667,2.808716591,73,62
16,66.66666667,3.617856947,75,62,16,66.66666667,2.736583434,74,62
17,66.66666667,13.15379117,78,9,17,66.66666667,3.014778415,73,60
18,66.66666667,3.047767854,73,59,18,66.66666667,2.98142397,72,59
19,66.66666667,7.764591998,74,40,19,66.66666667,3.238655414,76,61
20,66.66666667,6.336841134,74,47,20,66.66666667,2.102908039,71,62
21,66.66666667,6.37878428,73,42,21,66.66666667,2.586288632,71,62
22,66.66666667,6.209312003,77,45,22,66.66666667,2.649947589,73,60
23,66.66666667,4.165999947,75,58,23,66.66666667,2.624669291,72,61
24,66.66666667,7.363574011,72,30,24,66.66666667,3.036811193,72,59
25,66.66666667,5.832857123,72,40,25,66.66666667,2.534210374,72,61
26,66.66666667,5.172577264,74,48,26,66.66666667,3.299831646,74,62
27,66.66666667,2.534210374,72,63,27,66.66666667,2.66249674,71,61
28,66.66666667,4.253103442,74,59,28,66.66666667,2.52102272,75,63
29,66.66666667,4.399494921,76,50,29,66.66666667,2.426703296,72,62
30,66.66666667,11.16343237,76,10,30,66.66666667,2.357022604,72,63
31,66.66666667,3.448026811,73,61,31,66.66666667,2.902106515,74,62
32,66.66666667,9.812690196,74,19,32,66.66666667,3.399346342,75,60
33,66.66666667,3.269386623,72,60,33,66.66666667,2.902106515,74,62
34,66.66666667,3.977715704,74,57,34,66.66666667,3.091206165,73,61
35,66.66666667,4.011095722,74,52,35,66.66666667,2.736583434,73,61
36,66.66666667,2.547329757,73,61,36,66.66666667,2.03851798,72,60
37,66.66666667,2.902106515,73,62,37,66.66666667,2.699794231,73,62
38,66.66666667,3.279566367,72,59,38,66.66666667,2.772884579,73,61
39,66.66666667,8.719072326,74,29,39,66.66666667,2.342837785,72,61
40,66.66666667,3.058685266,75,63,40,66.66666667,1.920648039,70,62
41,66.66666667,2.66249674,72,61,41,66.66666667,3.218004903,75,61
42,66.66666667,4.519095288,76,57,42,66.66666667,2.507765717,73,63
43,66.66666667,2.879043051,73,62,43,66.66666667,2.507765717,73,62
44,66.66666667,2.649947589,71,61,44,66.66666667,2.52102272,73,61
45,66.66666667,3.197221016,74,60,45,66.66666667,3.186778241,73,61
46,66.66666667,5.78119557,73,50,46,66.66666667,2.481039209,72,60
47,66.66666667,6.614798225,74,35,47,66.66666667,2.760837232,73,62
48,66.66666667,3.552776692,74,61,48,66.66666667,3.571492063,73,61
49,66.66666667,13.20437638,77,2,49,66.66666667,2.547329757,72,62
50,66.66666667,4.832758587,76,52,50,66.66666667,2.796823595,75,61
51,66.66666667,6.769211344,74,36,51,66.66666667,2.712112748,71,62
52,66.66666667,5.211099266,81,50,52,66.66666667,3.014778415,72,59
53,66.66666667,4.292111627,75,54,53,66.66666667,2.832352771,72,61
54,66.66666667,5.362420681,72,49,54,66.66666667,2.467567403,72,61
55,66.66666667,8.934328303,75,30,55,66.66666667,2.52102272,72,62
56,66.66666667,9.148163143,73,31,56,66.66666667,2.687419249,72,60
57,66.66666667,3.186778241,74,62,57,66.66666667,3.571492063,75,59
58,66.66666667,5.867045442,76,44,58,66.66666667,2.98142397,73,61
59,66.66666667,2.586288632,70,62,59,66.66666667,2.736583434,72,61
60,66.66666667,2.687419249,72,60,60,66.66666667,3.091206165,74,59
61,66.66666667,2.637338726,73,61,61,66.66666667,2.534210374,71,62
62,66.66666667,2.440400696,72,61,62,66.66666667,3.00370142,73,62
63,66.66666667,8.323994767,74,25,63,66.66666667,2.440400696,73,61
64,66.66666667,7.404203011,78,42,64,66.66666667,2.624669291,71,62
65,66.66666667,6.177018339,76,50,65,66.66666667,2.67498702,71,61
66,66.66666667,5.120763832,76,50,66,66.66666667,2.573367875,72,62
67,66.66666667,4.941884481,74,51,67,66.66666667,2.255856575,72,63
68,66.66666667,5.31245915,75,49,68,66.66666667,3.797660098,75,60
69,66.66666667,2.624669291,72,61,69,66.66666667,3.486481831,74,59
70,66.66666667,10.97674309,77,26,70,66.66666667,2.992583425,72,61
71,66.66666667,7.327270221,75,37,71,66.66666667,2.399073895,71,60
72,66.66666667,3.069563849,73,60,72,66.66666667,2.796823595,73,62
73,66.66666667,6.477310827,78,39,73,66.66666667,3.309917757,73,60
74,66.66666667,10.90056064,76,20,74,66.66666667,2.371122566,73,62
75,66.66666667,5.172577264,75,51,75,66.66666667,2.426703296,74,63
76,66.66666667,6.040603355,75,47,76,66.66666667,2.796823595,71,60
77,66.66666667,9.238807042,74,19,77,66.66666667,2.2852182,72,62
78,66.66666667,2.98142397,72,61,78,66.66666667,2.855793332,73,60
79,66.66666667,3.134042473,73,59,79,66.66666667,2.534210374,71,62
80,66.66666667,13.3124837,77,24,80,66.66666667,2.255856575,73,63
81,66.66666667,4.474619785,75,52,81,66.66666667,2.599145159,72,60
82,66.66666667,4.642796092,75,57,82,66.66666667,3.457680661,76,61
83,66.66666667,4.908043285,75,56,83,66.66666667,2.195955879,71,62
84,66.66666667,10.590352,77,13,84,66.66666667,3.34995854,76,59
85,66.66666667,5.792715732,75,50,85,66.66666667,3.467307633,74,61
86,66.66666667,3.699849847,74,61,86,66.66666667,2.98142397,73,62
87,66.66666667,2.494438258,73,60,87,66.66666667,2.760837232,72,61
88,66.66666667,3.708848279,75,57,88,66.66666667,2.67498702,75,62
89,66.66666667,4.353797831,74,55,89,66.66666667,2.357022604,71,63
90,66.66666667,3.112698008,73,59,90,66.66666667,3.058685266,72,58
91,66.66666667,6.934615266,74,39,91,66.66666667,2.255856575,72,63
92,66.66666667,5.545769158,76,51,92,66.66666667,3.279566367,76,59
93,66.66666667,2.687419249,73,62,93,66.66666667,2.599145159,73,60
94,66.66666667,15.48188906,82,10,94,66.66666667,2.299758441,71,61
95,66.66666667,4.742245132,75,54,95,66.66666667,2.507765717,72,61
96,66.66666667,2.494438258,71,62,96,66.66666667,2.67498702,72,61
97,66.66666667,5.448751131,76,43,97,66.66666667,3.080404014,75,62
98,66.66666667,4.504318915,73,54,98,66.66666667,3.238655414,74,62
99,66.66666667,4.452215429,76,58,99,66.66666667,2.412928143,73,62
100,66.66666667,3.218004903,74,62,100,66.66666667,2.712112748,72,60
