,1800,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800,21600,23400,25200,27000,28800,30600,32400,34200,36000,37800,39600,41400,43200,45000,46800,48600,50400,52200,54000,55800,57600,59400,61200,63000,64800,66600,68400,70200,72000,73800,75600,77400
0,730.66,980.46,1210.43,1341.61,1624.33,1683.76,1941.99,2117.82,2426.0,2576.42,2801.24,3106.44,3287.44,3580.73,3933.27,4231.51,4635.95,4913.83,5164.86,5336.16,5471.98,5731.61,5951.21,6162.31,6359.28,6511.32,6695.67,6867.83,7054.86,7310.12,7524.88,7708.81,7928.71,8106.64,8308.42,8621.51,8863.29,9140.21,,,,,
1,791.67,998.49,1285.05,1647.42,2029.59,2257.97,2483.44,2709.79,2846.93,3171.45,3472.44,3773.0,4022.42,4433.71,4697.88,5003.22,5332.09,5571.47,5812.8,6098.93,6372.14,6587.57,6855.13,7014.25,7323.07,7733.99,8078.86,8361.89,8626.42,8842.26,9049.17,9299.35,9696.23,10057.41,10408.01,10661.43,10969.29,11213.73,11598.92,11967.32,,,
2,768.79,979.07,1410.34,1703.51,1985.8,2376.68,2681.71,2926.23,3266.31,3474.79,3898.03,4260.13,4511.25,4788.35,5084.19,5318.11,5749.83,6033.44,6367.2,6737.11,7054.82,7306.16,7570.83,7889.84,8220.84,8478.03,8743.2,8987.8,9226.51,9548.56,9805.74,10182.62,10411.21,10507.09,10767.33,10968.38,11254.13,11534.37,11796.22,12167.28,,,
3,779.86,1080.27,1454.81,1771.93,2184.94,2538.3,3054.52,3519.1,3781.29,4008.9,4358.13,4659.83,5096.06,5460.96,5832.1,6175.35,6554.0,7016.6,7345.33,7721.42,8056.1,8554.0,8789.34,9145.08,9414.35,9686.07,9931.11,10267.4,10603.77,11009.11,11424.66,11764.49,12092.7,12483.87,12862.02,13281.31,13701.43,14050.06,14601.24,14994.85,15416.0,15816.34,
4,742.39,933.9,1304.19,1645.76,1977.4,2459.36,2828.88,3060.15,3458.09,3612.72,3958.96,4346.82,4519.94,4774.93,5077.11,5447.27,5688.17,5898.82,6130.43,6325.55,6562.41,6942.95,7252.65,7515.68,7764.52,8009.0,8338.08,8632.68,8929.39,9309.93,9575.7,9764.72,10055.21,10355.63,10522.94,10754.55,11116.75,11400.41,11819.17,12278.42,,,
5,829.56,1102.65,1472.21,1735.52,2208.55,2457.59,2824.45,3128.95,3490.07,3745.55,3991.5,4404.0,4627.2,4819.08,5025.38,5346.04,5595.45,5713.18,5763.58,6028.09,6302.56,6731.08,7009.03,7252.44,7448.23,7800.35,8107.76,8392.77,8558.25,8652.11,8806.35,9126.77,9412.31,9737.72,9962.77,10225.03,10400.5,10666.58,10939.8,11329.63,,,
6,763.41,962.05,1335.08,1629.65,1906.46,2110.59,2305.2,2624.4,2894.0,3131.22,3405.11,3602.44,3787.63,4055.08,4293.24,4524.39,4622.3,4791.74,5053.56,5332.69,5497.61,5714.98,6000.12,6335.15,6600.57,6888.33,7087.88,7403.64,7732.33,7962.23,8207.52,8366.89,8748.75,8914.72,9084.0,9317.76,9375.97,9526.27,,,,,
7,762.07,1074.48,1445.67,1792.34,2203.21,2507.23,2824.06,3087.23,3512.39,4024.07,4530.76,5040.06,5397.82,5615.58,6087.48,6341.99,6715.43,7098.41,7447.34,7866.78,8256.95,8505.18,8835.04,9202.74,9469.66,9858.5,10196.77,10523.26,10863.45,11196.63,11634.67,12031.79,12314.95,12759.66,13152.15,13566.73,13977.1,14274.48,14590.21,14993.21,15321.44,15627.46,
8,795.0,993.13,1341.95,1655.95,2047.26,2271.07,2611.46,2825.16,3117.2,3288.21,3586.6,3859.25,4267.93,4531.31,4764.53,4978.25,5268.0,5645.62,5858.4,6058.53,6326.56,6527.85,6848.58,7225.51,7554.5,7884.75,8191.8,8429.24,8681.89,8880.68,9052.35,9312.95,9491.45,9725.86,9993.4,10298.96,10617.23,10951.81,11285.82,11572.71,,,
9,709.0,1032.17,1306.78,1495.5,1814.01,2131.93,2401.38,2776.84,3081.2,3396.25,3672.84,4121.45,4402.81,4754.16,5003.51,5320.1,5690.36,5886.42,6157.6,6504.13,6786.58,7123.52,7514.5,7997.88,8407.56,8595.39,8871.21,9151.69,9324.14,9618.03,9829.0,10157.5,10486.75,10763.68,11051.18,11260.96,11439.51,11752.04,11934.66,12185.55,,,
10,835.8,1212.62,1467.34,1678.12,2035.74,2394.59,2642.82,3047.65,3294.35,3541.03,3781.98,4109.83,4360.09,4700.69,4956.39,5269.98,5703.76,5909.83,6107.92,6414.93,6695.61,6829.22,7036.15,7315.18,7538.2,7798.12,8074.33,8346.0,8698.99,9010.46,9369.02,9729.45,10115.06,10427.47,10655.45,10977.17,11095.87,11399.12,11665.02,11927.95,,,
11,753.55,939.04,1146.45,1412.4,1666.3,1720.74,1867.59,2123.47,2269.64,2426.31,2591.55,2717.09,2952.23,3266.48,3655.89,4082.14,4317.72,4537.49,4743.22,5067.24,5315.71,5512.43,5535.48,5790.91,5898.79,6109.63,6366.65,6672.9,6890.86,7022.61,7380.25,7499.13,7671.89,7827.0,8107.11,8210.88,8387.27,8681.09,,,,,
12,704.35,805.3,996.5,1285.96,1610.18,1771.48,1991.78,2258.74,2461.52,2742.47,2805.81,3036.63,3355.1,3582.3,3739.12,3918.11,4162.17,4413.54,4548.13,4721.23,5033.43,5348.74,5479.7,5792.81,6049.06,6360.99,6492.62,6749.1,6995.57,7312.96,7427.55,7754.66,7963.0,8204.2,8423.65,8589.89,8901.45,9135.27,,,,,
13,696.11,981.65,1219.55,1385.89,1426.81,1610.82,1937.37,2204.77,2619.19,2911.29,3092.73,3352.73,3682.79,3947.67,4268.59,4454.81,4807.13,4994.59,5248.48,5508.75,5765.93,6079.91,6452.44,6781.76,6797.64,7058.5,7474.15,7767.51,8071.07,8364.68,8622.28,8820.08,9128.35,9458.22,9829.16,10101.41,10310.9,10494.93,10701.18,,,,
14,838.32,907.82,1155.19,1371.51,1652.02,1931.86,2118.16,2159.3,2401.96,2727.77,3004.57,3296.95,3556.51,3751.28,3840.16,4087.66,4301.18,4674.92,4845.21,5066.27,5366.47,5520.53,5634.93,5892.41,6153.74,6341.27,6677.34,6887.28,7210.87,7385.46,7667.75,7879.46,8200.7,8500.72,8734.92,8965.95,9221.59,9438.96,,,,,
15,743.33,796.56,831.95,982.89,1174.64,1329.54,1472.48,1617.64,1880.93,2087.79,2270.82,2473.26,2748.41,2864.97,2945.27,3099.68,3363.97,3513.16,3730.66,3829.07,4009.54,4291.8,4534.3,4702.21,4950.96,5285.12,5478.73,5722.44,5856.35,5872.93,6110.34,6362.56,6590.64,6846.19,7015.65,7148.8,7317.14,,,,,,
16,767.8,925.22,1109.86,1281.55,1449.71,1696.96,1804.56,2163.45,2432.01,2689.71,2804.97,2982.53,3161.3,3220.14,3452.81,3561.37,3751.12,4033.77,4205.13,4347.36,4464.37,4690.9,4982.93,5158.02,5474.5,5652.85,5952.31,6266.89,6419.61,6743.32,6950.99,7322.2,7434.3,7629.09,7777.22,8030.23,8246.96,8435.92,,,,,
17,852.88,993.63,1416.45,1809.69,2208.78,2639.19,2969.32,3395.96,3684.13,4136.98,4504.38,4802.99,5080.22,5470.86,5726.8,6045.1,6371.75,6952.82,7164.28,7534.31,7941.95,8207.26,8554.99,8840.6,9188.45,9707.93,10047.06,10533.25,10942.98,11294.29,11670.16,12061.08,12463.35,12730.72,13033.95,13471.84,13846.4,14167.87,14601.79,14969.14,15091.36,15637.18,
18,744.52,1029.26,1243.02,1543.56,1840.25,2240.52,2541.68,2831.93,3106.94,3476.71,3737.92,4041.25,4392.84,4686.27,5141.98,5491.22,5723.92,6053.21,6414.51,6681.12,6850.6,7055.74,7361.54,7535.56,7937.53,8158.12,8425.62,8720.68,8916.47,9103.02,9306.66,9607.04,9825.11,10052.41,10349.42,10701.16,11082.75,11438.86,11589.49,,,,
