,Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if better
,990.0944926,990.4166806,-0.322188008,0
,1002.2085,1002.742901,-0.534400767,0
,987.93982,988.23246,-0.292640056,0
,990.9830391,991.3787257,-0.395686594,0
,982.4157943,982.9587482,-0.5429539,0
,1010.998771,1010.614706,0.384064956,1
,962.7918579,962.8668507,-0.074992743,0
,986.4057855,986.2849969,0.120788623,1
,991.8512993,992.4369266,-0.585627259,0
,986.710635,986.511331,0.199303981,1
,991.5899028,991.5468295,0.043073264,1
,1014.269934,1012.963797,1.306136756,1
,1004.196728,1004.854069,-0.657340459,0
,984.083153,983.4511559,0.631997062,1
,1005.345691,1005.241936,0.103755342,1
,1005.405474,1005.69945,-0.293975894,0
,974.3709096,974.3963722,-0.025462644,0
,981.7433674,981.7286918,0.014675568,1
,1012.055287,1011.72297,0.332317319,1
,1029.118187,1028.178223,0.939963398,1
,1001.719146,1002.231929,-0.512782877,0
,1021.634489,1021.777601,-0.143112117,0
,1014.858629,1014.572836,0.28579325,1
,1019.826428,1019.776036,0.050391671,1
,984.3878101,984.547868,-0.160057837,0
,1024.333999,1024.750524,-0.416524387,0
,991.9688205,992.0986641,-0.129843571,0
,1010.041771,1011.198483,-1.156712081,0
,1017.037745,1016.615212,0.422533762,1
,1005.334618,1004.871642,0.462976905,1
,996.6006106,996.9619016,-0.36129107,0
,1003.567459,1002.983958,0.583500936,1
,1028.362937,1028.656601,-0.293664136,0
,1015.959214,1016.579489,-0.620275063,0
,977.5182068,977.1763221,0.341884677,1
,968.9151664,968.9008947,0.014271705,1
,999.4729926,999.3143897,0.158602961,1
,974.0650824,973.9848859,0.080196461,1
,999.4030727,999.5804406,-0.177367898,0
,1037.413409,1037.919607,-0.506197976,0
,1006.400283,1006.174058,0.226224522,1
,973.5085155,973.5185475,-0.01003203,0
,1001.648509,1002.388211,-0.739701943,0
,1013.105213,1013.868879,-0.763666647,0
,991.3005663,991.6006944,-0.300128149,0
,1011.47679,1011.960294,-0.48350482,0
,1008.633752,1007.208117,1.425634936,1
,995.6768559,996.6604487,-0.983592796,0
,964.4230306,964.0737227,0.34930792,1
,1014.040318,1014.026255,0.014062574,1
,1004.754142,1004.717471,0.036671483,1
,988.2110926,987.773606,0.437486623,1
,993.0102577,993.0569354,-0.04667769,0
,1008.24841,1008.421687,-0.173277692,0
,968.5758633,968.4125796,0.163283703,1
,1002.624257,1002.736068,-0.111811177,0
,974.8248672,974.8912452,-0.066378021,0
,1032.159095,1033.672712,-1.513616987,0
,1038.559905,1038.983452,-0.423547183,0
,995.4795701,995.3068712,0.17269888,1
,1007.029516,1005.853056,1.176460442,1
,1004.712484,1004.327711,0.384772262,1
,1011.231811,1011.229777,0.0020339,1
,1016.013207,1017.200117,-1.18691005,0
,1017.361458,1017.226811,0.134646783,1
,997.8797898,997.5031925,0.376597306,1
,1000.931368,1000.438225,0.493143434,1
,1013.167144,1013.30464,-0.137496229,0
,995.4558731,994.9137692,0.542103903,1
,1040.182638,1038.670047,1.512590666,1
,996.4792071,996.7957464,-0.31653932,0
,996.2282723,996.2568426,-0.028570382,0
,990.0824293,989.8144376,0.267991762,1
,1003.222746,1003.095048,0.127697281,1
,1010.28593,1010.244115,0.041814756,1
,1023.603219,1023.262196,0.341023133,1
,1027.360972,1027.293252,0.06772067,1
,1003.369974,1003.713864,-0.343890108,0
,974.5276355,974.8282825,-0.300646948,0
,1039.158941,1039.336134,-0.177192978,0
,998.2333694,998.1032209,0.130148486,1
,980.7213365,980.9517783,-0.230441763,0
,1003.856251,1002.869532,0.986718816,1
,1003.047682,1003.508808,-0.461126637,0
,969.8103883,969.8402792,-0.029890924,0
,991.7639722,991.3358031,0.428169095,1
,1049.382653,1050.603092,-1.220438948,0
,1010.459397,1010.159484,0.299913177,1
,1001.692604,1001.581654,0.110949917,1
,1039.659854,1041.651276,-1.991422576,0
,993.2236882,993.2698053,-0.04611715,0
,1008.83927,1008.818481,0.020789307,1
,987.8389677,988.1149383,-0.275970608,0
,1047.550406,1047.526161,0.024244664,1
,995.51728,995.0547067,0.462573261,1
,1022.032539,1022.046154,-0.013615414,0
,1002.662925,1002.221918,0.441007541,1
,966.344699,966.2785224,0.066176598,1
,991.2815728,991.2669251,0.014647693,1
,990.4740763,989.8643586,0.609717711,1
,,,,
average ,1001.963391,1001.985531,-0.022140507,52
std,18.82728466,18.91370891,0.555115749,
