,Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if shorter 
,997.0821416,996.5255136,0.556627951,1
,971.1274412,970.6451404,0.482300755,1
,1026.521884,1025.412397,1.109487018,1
,1008.96032,1009.957683,-0.997362355,0
,1004.227303,1004.316204,-0.088901002,0
,991.1578877,991.8944563,-0.736568608,0
,994.3892364,994.5267176,-0.137481245,0
,990.113361,990.0705718,0.042789201,1
,1005.690265,1006.466003,-0.775738057,0
,994.3843796,994.0756675,0.308712108,1
,1032.820968,1031.819409,1.001558479,1
,1038.684831,1040.460791,-1.775959962,0
,984.8168173,985.3918937,-0.575076385,0
,1032.629125,1031.340501,1.288623858,1
,1007.253401,1005.75372,1.499680686,1
,984.7405786,985.2720698,-0.531491197,0
,975.9242162,978.1237266,-2.199510428,0
,993.4252492,992.2596239,1.165625327,1
,975.9951531,976.3300831,-0.33492992,0
,982.0630335,981.9230841,0.139949408,1
,982.4002142,979.3115829,3.088631295,1
,1006.28896,1006.561388,-0.272427935,0
,1023.129607,1018.895674,4.233932723,1
,997.1470881,995.8544231,1.29266495,1
,1010.479286,1010.822898,-0.34361244,0
,985.0804478,984.2699631,0.810484686,1
,1001.716742,1000.298573,1.418169116,1
,1012.425664,1014.835309,-2.409644517,0
,996.4611744,995.9659771,0.495197377,1
,1000.72926,1001.273465,-0.544204774,0
,1003.839619,1004.462909,-0.623290117,0
,1003.948869,1004.48456,-0.53569077,0
,994.1719883,991.7684946,2.403493647,1
,1015.871527,1016.337535,-0.466008709,0
,987.0434599,987.737676,-0.694216127,0
,1013.145245,1013.406997,-0.261751921,0
,1011.298796,1011.150213,0.148583345,1
,1026.439446,1025.126915,1.312530971,1
,974.3197449,975.1963661,-0.876621236,0
,1022.238527,1023.255112,-1.016585211,0
,1011.068401,1013.155836,-2.087435334,0
,987.9494179,987.8536895,0.09572838,1
,998.0947725,998.5406024,-0.44582992,0
,1001.21285,1000.258086,0.954764072,1
,1023.597276,1024.512996,-0.915720461,0
,978.0802418,978.3959889,-0.315747135,0
,992.8913866,993.945764,-1.054377435,0
,1005.80116,1006.608302,-0.807142596,0
,972.4735218,972.5250867,-0.051564889,0
,1017.643308,1017.510727,0.132581222,1
,976.5873296,976.3292778,0.258051806,1
,1017.307415,1016.885081,0.422334187,1
,982.7042271,981.6398825,1.064344603,1
,982.5400352,980.8264509,1.71358425,1
,980.7164346,981.4671162,-0.750681655,0
,990.6688085,990.4728316,0.195976933,1
,1006.615227,1007.529999,-0.914771343,0
,1021.802387,1022.448902,-0.646514811,0
,1016.290236,1015.780856,0.509379768,1
,1055.641587,1059.608263,-3.966675971,0
,967.5187111,966.6278398,0.890871341,1
,956.1694178,956.0642363,0.105181563,1
,1005.449378,1003.610531,1.838847101,1
,983.2474212,984.1263592,-0.878937996,0
,1013.602853,1014.702555,-1.099701939,0
,990.9691742,990.6996986,0.269475545,1
,1021.77204,1019.328514,2.443525665,1
,989.8866815,989.210302,0.676379441,1
,999.0511431,999.4236545,-0.372511397,0
,967.0742423,966.2081348,0.866107458,1
,1022.624975,1019.775481,2.849494123,1
,1019.665448,1022.143421,-2.477973134,0
,1043.238186,1041.544516,1.693669803,1
,976.537801,975.997034,0.540767046,1
,1015.082127,1017.736573,-2.65444603,0
,996.2979314,997.3101265,-1.012195134,0
,1001.682089,1001.355765,0.326324843,1
,995.5352331,994.6187017,0.916531365,1
,989.5663508,988.4159292,1.150421591,1
,997.3780143,997.2507362,0.127278086,1
,1002.243735,1004.407413,-2.163677679,0
,1007.499768,1007.011071,0.488697257,1
,1005.234602,1007.074201,-1.839598748,0
,1014.48776,1015.591916,-1.104156804,0
,996.3905384,995.8675811,0.522957266,1
,1037.198538,1034.25756,2.940978321,1
,1034.024147,1034.704769,-0.680621813,0
,999.4239979,999.3189053,0.105092631,1
,994.0484056,993.8748457,0.173559963,1
,993.848268,994.1097972,-0.261529163,0
,981.9217626,981.8078854,0.113877113,1
,1007.219961,1005.432734,1.787226471,1
,975.6852829,974.2899271,1.395355833,1
,1013.016586,1014.087725,-1.07113984,0
,947.9832499,948.3074716,-0.324221736,0
,1023.353113,1022.960922,0.392191188,1
,976.3731341,978.5563188,-2.183184682,0
,1016.952463,1016.711669,0.240793225,1
,1003.569893,1004.137909,-0.568016002,0
,1038.333067,1035.863694,2.46937306,1
,,,,
average,1001.010268,1000.944014,0.066253189,53
