,Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),ifbetter
,992.9739817,986.9155201,6.058461589,1
,986.4757208,995.6441994,-9.168478676,0
,1010.753067,1001.84023,8.912837519,1
,976.0673735,977.6400894,-1.572715924,0
,970.4521303,966.3062824,4.145847868,1
,1042.480682,1041.585179,0.895503528,1
,1034.079627,1028.46525,5.614376221,1
,982.9044119,981.0909273,1.813484668,1
,1016.311718,1014.051553,2.260164952,1
,971.8280248,966.4474926,5.38053213,1
,976.5563477,975.3343482,1.221999438,1
,1022.889677,1023.040859,-0.151182272,0
,964.3451854,963.9970106,0.348174724,1
,996.044701,1003.447055,-7.402354022,0
,1027.783713,1026.119564,1.664148989,1
,985.0413018,985.6407702,-0.599468488,0
,951.5144585,951.4284897,0.085968808,1
,974.0513299,973.5504585,0.500871348,1
,1030.993429,1032.936334,-1.942905111,0
,986.4588991,990.2431893,-3.784290228,0
,1012.84798,1012.366116,0.481864053,1
,960.3138355,955.4261261,4.887709432,1
,1005.753641,1004.899071,0.85457027,1
,1036.406532,1023.439064,12.96746812,1
,962.2129415,958.83792,3.37502149,1
,1015.851588,1013.579006,2.272581842,1
,989.9507078,987.2396987,2.711009033,1
,979.7863359,980.6870393,-0.900703421,0
,948.2393643,947.4995511,0.739813186,1
,1005.285133,1006.738861,-1.45372759,0
,999.974847,1001.103734,-1.128887343,0
,1017.407017,1009.814443,7.592573632,1
,1035.273531,1045.903938,-10.63040775,0
,976.1870944,974.8630019,1.32409251,1
,974.5023618,979.9096626,-5.407300727,0
,963.1238625,962.7388363,0.385026195,1
,1021.798373,1021.18203,0.61634354,1
,986.7934739,987.1770652,-0.383591294,0
,997.3915709,995.3819475,2.009623422,1
,1048.502312,1045.706671,2.795641132,1
,963.5011763,964.8804026,-1.379226223,0
,1039.579978,1052.228136,-12.6481583,0
,962.5414514,964.5046119,-1.963160491,0
,1002.095362,1003.309529,-1.214167544,0
,992.1463242,994.341007,-2.194682843,0
,1037.890085,1042.367725,-4.477640278,0
,993.7717509,994.7105833,-0.938832406,0
,1030.448626,1033.316484,-2.867857616,0
,990.9409238,992.1611424,-1.220218611,0
,967.3486836,968.8516586,-1.502974969,0
,1037.140447,1023.059733,14.08071409,1
,994.8611367,995.775949,-0.914812317,0
,989.564858,988.1229129,1.441945107,1
,1015.388805,1016.23576,-0.846955709,0
,1038.594398,1037.278802,1.315596752,1
,1013.879212,1015.975576,-2.096364155,0
,993.3700524,994.2984691,-0.928416721,0
,1008.75192,1013.731169,-4.979248855,0
,1011.370662,1011.522669,-0.152006836,0
,1006.373513,1006.691091,-0.317578304,0
,962.4780696,968.7661034,-6.288033795,0
,1011.904041,1002.391855,9.512185698,1
,994.5697299,994.5578203,0.011909554,1
,956.8388779,959.6491713,-2.810293386,0
,994.5785128,996.0029991,-1.424486335,0
,965.0270383,965.0776545,-0.05061619,0
,1042.650971,1033.580039,9.070932614,1
,967.8409681,963.7042078,4.136760269,1
,1037.482298,1034.503074,2.979223359,1
,1002.230779,1007.917173,-5.686393463,0
,1003.647701,1001.125892,2.52180867,1
,971.7037703,968.7643138,2.939456481,1
,981.278977,986.1564825,-4.877505504,0
,999.2701057,1000.280106,-1.009999872,0
,1000.534648,1002.881298,-2.346649564,0
,1021.28482,1022.836933,-1.552113062,0
,958.0057292,958.7605397,-0.754810554,0
,992.0267922,993.9461915,-1.919399247,0
,982.7408294,982.1479689,0.592860537,1
,976.7982651,976.7823703,0.015894815,1
,1022.828423,1014.798635,8.029788767,1
,973.0630182,969.7229691,3.340049084,1
,1067.754449,1071.60126,-3.84681078,0
,1006.547008,1014.682139,-8.135131244,0
,1008.435419,1008.44722,-0.011801333,0
,985.4844163,982.2931819,3.191234344,1
,998.7359139,1005.043519,-6.307604947,0
,992.6302887,996.4861259,-3.855837126,0
,974.9990737,972.5360464,2.463027305,1
,1070.779763,1068.599189,2.18057475,1
,990.4367056,997.6548525,-7.218146832,0
,1029.333432,1029.178327,0.155105122,1
,1025.885916,1020.587264,5.298652932,1
,1019.759671,1018.797449,0.962222552,1
,1028.479303,1029.186036,-0.706733125,0
,1048.488799,1042.937805,5.550993436,1
,1050.013361,1047.467984,2.545377277,1
,1046.738256,1055.118173,-8.3799171,0
,994.9876545,993.0728433,1.914811232,1
,998.4852784,998.9907324,-0.505453999,0
,,,,
average,1000.839267,1000.706159,0.133107819,50
