Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),
994.6855484,987.5906643,7.094884151,1
1011.283115,1006.542604,4.740511764,1
966.415381,969.6052647,-3.189883698,0
1013.47594,1017.720905,-4.244964403,0
979.3666865,985.2776504,-5.910963893,0
1001.108868,998.9039862,2.20488135,1
1004.204855,1001.26207,2.942785148,1
1012.464827,1006.383929,6.080898325,1
985.5752243,988.3565913,-2.781367026,0
987.2782883,992.0011853,-4.722897082,0
1015.252275,1016.755274,-1.502998805,0
981.9883784,983.7327737,-1.744395243,0
1005.416001,1001.102323,4.313677865,1
984.9824931,988.05204,-3.069546991,0
1002.758401,1008.232516,-5.474114402,0
1014.556794,1014.203171,0.353623329,1
989.8199985,990.5945487,-0.774550169,0
1021.200329,1011.932977,9.26735254,1
985.4578601,989.44962,-3.991759921,0
1022.071924,1015.009984,7.061940249,1
992.8066444,994.3453144,-1.538670065,0
1030.040979,1029.517783,0.523195727,1
1033.967833,1036.054618,-2.086785156,0
994.8320997,991.8771873,2.954912338,1
1032.14338,1035.983466,-3.840085307,0
1011.866529,1018.73176,-6.8652304,0
1034.025802,1030.706781,3.319020731,1
1004.307853,1009.068189,-4.760336526,0
1006.623199,1005.143531,1.479667574,1
977.3486375,974.8389638,2.509673664,1
1013.295722,1007.161163,6.134559377,1
981.376617,977.4048342,3.97178281,1
986.6103812,984.685227,1.925154231,1
1025.002923,1023.786057,1.216865583,1
1015.375546,1013.975988,1.399557869,1
965.7241169,967.2239304,-1.499813495,0
974.6149029,972.107112,2.507790924,1
1008.645711,1013.725555,-5.079843414,0
995.4450549,1000.193976,-4.748920712,0
974.2327455,979.8337237,-5.600978225,0
978.6725497,979.4262133,-0.753663581,0
1016.821373,1010.0282,6.793172509,1
968.5116347,967.768576,0.743058765,1
969.3545428,964.7331656,4.621377286,1
991.9612016,992.8840263,-0.922824774,0
1033.802127,1034.378299,-0.576172069,0
956.6145713,961.2014951,-4.58692385,0
1017.23028,1021.1172,-3.886920377,0
999.542672,1014.123103,-14.58043097,0
1030.905234,1022.097173,8.808060751,1
1004.86661,1002.838272,2.028338382,1
975.4973019,970.7901568,4.707145165,1
1001.484897,1001.62083,-0.135933767,0
1005.340117,1004.486262,0.853855087,1
1007.829839,1008.715055,-0.885216265,0
1024.046321,1022.694837,1.351484018,1
988.348693,996.8466916,-8.497998554,0
1013.425849,1016.308901,-2.883051966,0
1011.740003,1014.066851,-2.326847415,0
999.2914768,1000.331292,-1.039815385,0
937.8277612,938.6663641,-0.838602892,0
1023.302446,1022.866947,0.435499058,1
1015.021365,1016.966606,-1.945241355,0
1016.132658,1014.37518,1.757477586,1
979.6173114,979.9704811,-0.353169734,0
985.5816399,984.4019087,1.179731201,1
1024.142684,1021.944002,2.198681515,1
1006.090657,1011.860607,-5.769949733,0
1003.569694,1004.678377,-1.108683667,0
1019.492602,1024.514863,-5.02226064,0
991.7968715,992.8262597,-1.029388259,0
1008.746492,1015.54461,-6.798117977,0
982.3401688,984.3036586,-1.963489845,0
1010.151119,1009.698527,0.452592218,1
993.2639032,996.2642278,-3.000324576,0
997.3456118,998.5716499,-1.226038112,0
1039.596987,1037.881501,1.715485735,1
998.7792103,1002.08673,-3.307519411,0
985.2643954,983.5258611,1.738534308,1
1005.747119,1005.355092,0.392027823,1
973.4608554,975.4504521,-1.989596639,0
1032.30376,1036.185936,-3.882176416,0
957.8149632,955.4141696,2.400793609,1
951.6233245,949.4865615,2.136762996,1
1023.514027,1023.612975,-0.098947915,0
1005.026036,1004.169291,0.856745003,1
1022.953313,1018.28202,4.671293822,1
1022.993484,1023.930952,-0.937468184,0
951.1753522,951.1075185,0.067833644,1
990.1651828,989.0328365,1.132346331,1
995.339125,995.5998359,-0.260710924,0
1034.880737,1030.764116,4.116620717,1
985.0489685,984.1774358,0.871532785,1
1015.635701,1011.28167,4.354030829,1
1002.779587,1001.274589,1.504997869,1
1022.463445,1021.40248,1.06096522,1
954.7844733,953.8408046,0.943668644,1
1003.67916,1007.911983,-4.23282312,0
1015.024371,1016.116359,-1.091987631,0
986.9752215,990.3246841,-3.34946255,0
,,,
,,,48
