,Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),,if better
,2389.070106,2389.944819,-0.87471234,,0
,2657.835022,2651.020751,6.814270792,,1
,2580.50972,2618.345501,-37.83578047,,0
,2399.398483,2366.14144,33.25704226,,1
,2770.801679,2824.046572,-53.24489366,,0
,2639.465332,2619.244868,20.22046367,,1
,2591.107242,2565.26533,25.84191237,,1
,2336.500078,2385.413442,-48.91336364,,0
,2438.055568,2457.923385,-19.86781742,,0
,2535.170915,2581.199461,-46.02854669,,0
,2536.517195,2568.584958,-32.06776293,,0
,2582.388847,2642.450858,-60.06201064,,0
,2337.853839,2342.889076,-5.035237048,,0
,2624.351264,2623.944119,0.407145123,,1
,2269.489119,2249.951933,19.53718669,,1
,2646.321062,2667.148053,-20.82699096,,0
,2561.117417,2523.742508,37.37490866,,1
,2900.286346,2859.959778,40.32656772,,1
,2630.573189,2573.764236,56.80895353,,1
,2716.483586,2650.883542,65.60004333,,1
,2342.533385,2334.585826,7.947559099,,1
,2607.289591,2629.76726,-22.47766936,,0
,2471.823625,2406.058626,65.7649987,,1
,2310.69271,2354.935227,-44.24251652,,0
,2698.172401,2693.633646,4.538754722,,1
,2400.722202,2433.992392,-33.27018998,,0
,2557.695178,2814.108185,-256.4130067,,0
,2701.899318,2722.072396,-20.17307794,,0
,2553.596608,2499.428796,54.16781148,,1
,2526.195559,2553.183771,-26.98821169,,0
,2658.615425,2682.969664,-24.35423877,,0
,2605.394762,2672.077112,-66.68234966,,0
,2447.580723,2551.936668,-104.3559451,,0
,2648.713571,2666.825225,-18.11165442,,0
,2991.176581,2932.436466,58.7401148,,1
,2708.186704,2708.928739,-0.742035232,,0
,2706.898651,2656.371562,50.52708927,,1
,2708.660141,2705.055265,3.604876194,,1
,2578.289519,2564.700202,13.58931649,,1
,2355.936501,2377.246822,-21.31032028,,0
,2611.960989,2516.793981,95.16700827,,1
,2441.393095,2360.467445,80.92565034,,1
,2584.13668,2606.885532,-22.74885125,,0
,2630.653605,2706.924813,-76.2712084,,0
,2407.217776,2376.840323,30.37745351,,1
,2430.193485,2425.565602,4.627883175,,1
,2516.436467,2635.120021,-118.6835549,,0
,2811.025967,2829.525687,-18.49972052,,0
,2808.920975,2777.675013,31.24596247,,1
,2476.2454,2374.995737,101.2496632,,1
,2444.727574,2344.825889,99.90168515,,1
,2515.527832,2606.757793,-91.22996047,,0
,2501.7022,2502.145823,-0.443623117,,0
,2587.929611,2590.40836,-2.478749354,,0
,2848.16728,2815.708122,32.45915819,,1
,2518.424905,2448.4885,69.9364049,,1
,2717.215039,2734.654037,-17.43899768,,0
,2679.169847,2682.563406,-3.393559707,,0
,2511.686505,2455.900608,55.78589705,,1
,2629.821747,2617.029669,12.79207744,,1
,2432.863459,2434.621207,-1.757747598,,0
,2712.798047,2673.785332,39.01271478,,1
,2622.993178,2571.507667,51.48551141,,1
,2591.164127,2623.454605,-32.29047823,,0
,2689.979787,2689.409743,0.570043483,,1
,2682.322532,2770.662445,-88.3399136,,0
,2504.434599,2487.130786,17.30381296,,1
,2553.788216,2545.385141,8.403075497,,1
,2505.124531,2486.660521,18.46400998,,1
,2793.501547,2825.606612,-32.10506507,,0
,2760.037431,2776.753531,-16.71609997,,0
,2700.481767,2753.495501,-53.01373344,,0
,2566.435802,2585.62244,-19.1866384,,0
,2768.259161,2781.414999,-13.15583874,,0
,2359.751456,2419.171632,-59.42017597,,0
,2509.666664,2477.41228,32.25438379,,1
,2903.901446,2808.114734,95.78671229,,1
,2674.203234,2706.979143,-32.77590857,,0
,2680.407797,2640.190483,40.21731437,,1
,2702.524089,2669.427385,33.09670409,,1
,2663.456012,2656.638582,6.81742952,,1
,2513.965741,2527.306525,-13.3407846,,0
,2770.552068,2773.236162,-2.684094349,,0
,2767.086795,2736.939175,30.14761975,,1
,2542.607986,2556.336589,-13.7286031,,0
,2818.332991,2771.110644,47.22234777,,1
,2483.36601,2439.382242,43.98376855,,1
,2483.82252,2500.428049,-16.60552816,,0
,2393.709605,2354.09685,39.61275533,,1
,2377.075255,2446.790792,-69.7155368,,0
,2454.812652,2420.490589,34.3220631,,1
,2648.163627,2639.969553,8.194073783,,1
,2753.839191,2745.071066,8.768124726,,1
,2517.459875,2515.392503,2.067372577,,1
,2473.332243,2624.584543,-151.2523003,,0
,2546.669781,2505.606688,41.06309291,,1
,2470.958944,2462.629878,8.329066144,,1
,2733.808325,2810.786418,-76.97809277,,0
,2546.732029,2610.739507,-64.0074784,,0
,2715.09498,2679.227331,35.8676491,,1
,,,,,
average,2587.854116,2590.350247,-2.496130704,sum,51
std,144.6377997,147.299526,54.05765194,,
