Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better
1006.00575,1006.783014,-0.777264045,0
1013.327956,1014.969939,-1.641982547,0
993.3311238,993.2979085,0.033215281,1
1007.916596,1007.300674,0.615922096,1
991.3587919,991.2769162,0.081875701,1
991.2556546,991.0643833,0.191271244,1
991.1079046,992.6410514,-1.533146833,0
1014.469858,1014.46409,0.005768157,1
1002.857541,1002.642973,0.214568,1
996.0219333,994.949789,1.072144274,1
979.3400996,979.4193142,-0.079214591,0
1011.014999,1008.822696,2.192302376,1
1005.202706,1004.466894,0.735811957,1
1001.081299,1000.413982,0.66731701,1
976.876588,977.4678089,-0.591220908,0
997.1127446,994.5717095,2.541035114,1
995.6331071,994.594811,1.038296096,1
997.9873323,996.9968296,0.990502692,1
1010.175944,1007.916124,2.259819815,1
1009.343863,1010.182526,-0.838662958,0
999.1852707,998.8248195,0.360451225,1
993.9015488,994.1225306,-0.220981862,0
996.5166474,994.6731113,1.843536104,1
1011.495525,1010.283856,1.211668415,1
1016.891645,1015.096215,1.795430048,1
1000.694764,1001.38731,-0.692545964,0
994.6274942,994.7511629,-0.123668651,0
1005.104862,1004.62061,0.484251953,1
991.7177405,992.5814278,-0.863687345,0
1013.542963,1012.964028,0.578935267,1
1004.742531,1004.628384,0.114146823,1
986.4159091,987.0858697,-0.669960659,0
998.8687683,999.3760707,-0.507302375,0
1002.496871,1002.479792,0.017078386,1
1001.057609,1000.974115,0.083494287,1
1006.307246,1006.589006,-0.281760287,0
1000.25026,997.7743523,2.475907266,1
999.140645,999.9052927,-0.764647783,0
1014.822871,1014.04582,0.777050848,1
1012.628249,1015.888468,-3.26021831,0
1009.774377,1011.078413,-1.30403624,0
1000.555099,1000.314675,0.240423989,1
997.7891191,998.8631204,-1.074001246,0
995.7919032,997.2890547,-1.497151458,0
1007.526986,1008.501123,-0.974137159,0
1000.699519,999.3832149,1.316303867,1
1009.502991,1009.297949,0.205042075,1
1010.529963,1010.736233,-0.206269197,0
1001.935569,1001.127767,0.807801459,1
1004.146414,1003.574179,0.572235186,1
992.3162302,991.8943685,0.421861706,1
989.0248644,988.6362662,0.388598198,1
1016.393728,1015.654388,0.73933997,1
1028.037822,1024.970135,3.067686483,1
988.0848116,987.934478,0.150333558,1
1009.983799,1009.093901,0.889897984,1
991.5630395,992.1169627,-0.553923128,0
1015.913056,1015.083214,0.829842491,1
1021.128744,1018.908191,2.220553258,1
1013.463557,1014.393604,-0.930046761,0
998.381769,996.9674876,1.414281402,1
1010.510694,1008.869111,1.641583103,1
1021.634793,1020.239145,1.395647994,1
987.1187677,987.6919042,-0.573136484,0
1003.553363,1004.674797,-1.121434811,0
992.0804024,990.8323358,1.248066684,1
997.5850545,997.3242995,0.260755035,1
1000.501588,1000.7964,-0.294812276,0
1013.007344,1013.276154,-0.268809489,0
1011.729739,1010.555841,1.173897798,1
987.2927478,986.555128,0.737619801,1
996.3329766,996.1498205,0.183156103,1
1025.607268,1022.93808,2.669187455,1
998.5322847,998.1838323,0.348452407,1
989.8119767,989.4061398,0.405836864,1
1005.451391,1007.624889,-2.173498174,0
1000.482275,999.9658442,0.516431131,1
999.5019349,1001.033826,-1.531890905,0
1005.429874,1007.984581,-2.554706906,0
995.0018592,994.4368587,0.565000516,1
993.1084247,995.8950674,-2.786642636,0
1002.478031,1004.016665,-1.538633316,0
996.9445464,996.1440579,0.800488501,1
998.8667397,998.2717752,0.594964453,1
1007.067218,1008.163014,-1.095795084,0
1008.692441,1006.352354,2.340087405,1
985.6651767,985.7473981,-0.082221313,0
1027.897592,1027.194655,0.702937285,1
983.3689911,984.1656922,-0.796701135,0
1019.266271,1018.87997,0.386301176,1
994.1521382,993.031902,1.120236254,1
1012.395323,1012.860422,-0.465099279,0
1000.315602,998.2407953,2.074806225,1
1016.143439,1016.471577,-0.328138453,0
1003.190985,1002.308862,0.882123343,1
1016.126972,1016.863849,-0.736877027,0
997.2001437,998.6743061,-1.474162467,0
1015.129961,1014.129483,1.000478179,1
1009.520749,1009.808255,-0.287506146,0
992.7562408,994.3684061,-1.61216532,0
,,,
1002.658279,1002.482419,0.175859982,60
