Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,,DT,,"fmt = max(fpt, r2r)"
0,25,14,115.0055554,234.9263626,209.9263626,,119.9208072,,90.00555538
1,58,21,130.2495675,544.8156056,486.8156056,,414.5660382,,72.24956747
2,88,1,146.1893461,1123.236428,1035.236428,,977.0470818,,58.1893461
3,107,25,148.8807832,754.9335862,647.9335862,,606.052803,,41.88078318
4,134,26,175.7252921,630.7154019,496.7154019,,454.9901098,,41.72529209
5,155,24,237.5651258,880.8729837,725.8729837,,643.3078579,,82.56512581
6,192,11,363.2921481,1241.186219,1049.186219,,877.8940711,,171.2921481
7,218,3,552.5743565,904.1323175,686.1323175,,351.5579611,,334.5743565
8,246,27,282.4005494,549.4174028,303.4174028,,267.0168534,,36.40054945
9,271,8,315.0454311,953.7981219,682.7981219,,638.7526908,,44.04543109
10,300,17,394.2019108,477.3884482,177.3884482,,83.18653737,,94.20191081
11,329,27,423.3663075,1048.983603,719.9836027,,625.6172952,,94.36630755
12,358,13,642.0228864,878.0504272,520.0504272,,236.0275408,,284.0228864
13,391,29,498.7079384,1131.315242,740.3152416,,632.6073032,,107.7079384
14,430,5,516.9770085,737.3993304,307.3993304,,220.4223219,,86.97700846
15,459,17,751.0017123,906.3497088,447.3497088,,155.3479964,,292.0017123
16,485,5,689.7876949,1108.671927,623.6719272,,418.8842322,,204.7876949
17,511,4,573.2414653,1623.712312,1112.712312,,1050.470847,,62.24146528
18,542,12,673,1070.756207,528.7562067,,397.7562067,,131
19,572,28,644.0138875,1184.473877,612.4738768,,540.4599893,,72.01388755
20,598,28,697.4032592,809.7108725,211.7108725,,112.3076133,,99.40325925
21,639,12,957.2860349,1083.816664,444.8166636,,126.5306287,,318.2860349
22,668,17,918.3158005,977.3242745,309.3242745,,59.00847397,,250.3158005
23,692,21,925.1372986,1265.962767,573.9627671,,340.8254685,,233.1372986
24,724,26,790.4830806,824.4977833,100.4977833,,34.0147027,,66.48308055
25,753,34,864.2519663,1413.302966,660.3029657,,549.0509995,,111.2519663
