Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,25,23,143.06777714516352,372.51275965731173,347.51275965731173,229.44498251214821,118.06777714516352
1,57,7,215.64740779476983,760.4492066170571,703.4492066170571,544.8017988222873,158.64740779476983
2,96,5,298.2770377477384,748.2059210170836,652.2059210170836,449.9288832693452,202.2770377477384
3,127,9,319.7200041511,1060.0584402733914,933.0584402733914,740.3384361222913,192.72000415110006
4,156,0,226.178344238091,844.191289086336,688.191289086336,618.0129448482451,70.17834423809097
5,190,20,271.0246875958186,690.7221977147136,500.7221977147136,419.697510118895,81.02468759581859
6,220,19,254.40930106817052,547.334206120643,327.334206120643,292.92490505247247,34.40930106817052
7,253,12,359.40488710580917,545.7620710295851,292.76207102958506,186.3571839237759,106.40488710580917
8,279,15,500.7115242832451,918.4434957673536,639.4434957673536,417.7319714841085,221.71152428324513
9,293,10,480.5366630821824,1106.1251859948075,813.1251859948075,625.5885229126251,187.53666308218237
10,333,8,533.0249984376953,1134.0815681547228,801.0815681547228,601.0565697170275,200.02499843769533
11,367,18,625.5207922005501,1229.8137675030932,862.8137675030932,604.2929753025431,258.5207922005501
12,394,6,692.6050903785801,1473.0677736633097,1079.0677736633097,780.4626832847296,298.60509037858014
13,425,19,960.1429715505941,2005.6729806847175,1580.6729806847175,1045.5300091341232,535.1429715505942
14,461,12,647.3571839237758,1236.975704664093,775.975704664093,589.6185207403172,186.35718392377578
15,485,2,641.706732465456,1157.8559357003346,672.8559357003346,516.1492032348787,156.70673246545596
16,517,17,627.3177229641728,1524.1175891550638,1007.1175891550638,896.799866190891,110.31772296417284
17,549,5,745.2542955327085,922.0309908293455,373.03099082934546,176.77669529663694,196.2542955327085
18,585,28,768.96738841436,1770.822667384332,1185.822667384332,1001.8552789699719,183.96738841436002
19,613,20,1031.7421641057895,1629.981246747504,1016.981246747504,598.2390826417145,418.74216410578947
20,649,2,971.5815623211519,1821.7262558880766,1172.7262558880766,850.1446935669247,322.58156232115186
21,683,27,836.0130713370593,1136.1796917331321,453.17969173313213,300.16662039607286,153.01307133705927
22,713,27,952.0522955338433,1377.1558123388681,664.1558123388681,425.1035168050248,239.05229553384333
23,746,15,965.79080963498,1699.5809703757736,953.5809703757736,733.7901607407937,219.79080963497995
24,771,0,1064.9931972002073,1316.0967614919155,545.0967614919155,251.10356429170815,293.9931972002073
25,791,5,1097.0766991457735,1959.759143617666,1168.759143617666,862.6824444718925,306.07669914577355
26,819,18,1208.7877549645787,2224.024180631034,1405.0241806310341,1015.2364256664555,389.78775496457865
27,847,25,1260.3194890154589,1452.7383030643973,605.7383030643973,192.41881404893843,413.3194890154589
28,875,29,1140.0358466321113,1938.4354959306315,1063.4354959306315,798.3996492985202,265.0358466321113
29,902,8,967.6048778674269,1187.8093283219987,285.8093283219987,220.20445045457177,65.60487786742692
30,935,25,1298.3524459804833,1856.3354206311442,921.3354206311442,557.9829746506609,363.35244598048325
31,971,29,1383.0665332220685,1430.490156027586,459.49015602758595,47.423622805517425,412.06653322206853
32,995,17,1135.133213201506,2048.2564250409596,1053.2564250409596,913.1232118394537,140.1332132015059
33,1020,10,1486.0268232623525,2090.458788002802,1070.458788002802,604.4319647404495,466.02682326235254
34,1056,14,1140.8645980371084,1410.8516347629484,354.8516347629484,269.98703672583997,84.86459803710841
35,1083,14,1866.5228139626822,2627.3039914375195,1544.3039914375195,760.7811774748372,783.5228139626822
36,1114,28,1262.3733042203505,1709.9769235086667,595.9769235086667,447.60361928831617,148.37330422035052
37,1154,27,1569.2360774306587,2232.284341133988,1078.2843411339882,663.0482637033294,415.2360774306587
38,1188,24,1537.7570585420685,2017.262011592608,829.2620115926079,479.50495305053937,349.75705854206853
39,1223,24,1512.8723857148175,2167.1483213872216,944.1483213872216,654.2759356724041,289.8723857148175
40,1257,0,1394.0839159055504,2040.799463886268,783.7994638862681,646.7155479807177,137.08391590555038
41,1281,6,1473.4188140489387,2195.416043960522,914.4160439605221,721.9972299115834,192.41881404893866
42,1310,8,1680.4497266836622,2047.9888402484635,737.9888402484635,367.53911356480126,370.4497266836622
43,1336,26,1481.0551619212497,1923.3514427104963,587.3514427104963,442.29628078924657,145.0551619212497
44,1369,26,1944.4172399224758,2407.2303771603893,1038.2303771603893,462.81313723791345,575.4172399224758
45,1404,29,1720.5746264840377,2022.5812489279833,618.5812489279833,302.0066224439456,316.5746264840377
46,1436,26,1803.266934610416,2720.7052159133054,1284.7052159133054,917.4382813028894,367.266934610416
47,1474,21,2038.0434380435606,2809.749340573793,1335.7493405737928,771.7059025302322,564.0434380435606
48,1505,21,2052.949815220336,2989.245708621562,1484.2457086215618,936.2958934012258,547.949815220336
49,1534,13,1748.8324928869001,2817.312254042908,1283.312254042908,1068.479761156008,214.83249288690013
50,1564,15,1682.0244661431275,2101.711254117207,537.7112541172069,419.6867879740794,118.02446614312748
51,1596,20,1830.6167086973987,2837.867422273716,1241.8674222737159,1007.2507135763171,234.61670869739874
52,1617,25,1991.855972341378,2408.4625013348636,791.4625013348636,416.60652899348565,374.855972341378
53,1652,13,2176.0553405891405,2386.856194477354,734.8561944773542,210.80085388821362,524.0553405891405
54,1682,8,1845.4952648532733,2474.584288760065,792.5842887600652,629.0890239067919,163.49526485327328
55,1709,11,2101.045915678253,2445.5237814403367,736.5237814403367,344.47786576208364,392.0459156782531
56,1745,11,1986.207379654935,2149.798332950036,404.7983329500362,163.59095329510114,241.20737965493504
57,1775,24,1922.800541270998,3145.51596196381,1370.5159619638098,1222.7154206928117,147.8005412709981
58,1807,11,2310.000994034803,2409.0211939942055,602.0211939942055,99.02019995940236,503.00099403480317
59,1836,13,2060.4650204853756,2340.9734873807615,504.9734873807615,280.50846689538594,224.4650204853756
60,1858,28,2440.9794164462414,3097.7594405030027,1239.7594405030027,656.7800240567612,582.9794164462414
61,1871,14,2307.199741462531,2909.3865895420954,1038.3865895420954,602.1868480795642,436.19974146253116
62,1900,19,1946.020342422857,2373.0519571775494,473.0519571775494,427.0316147546923,46.020342422857084
63,1938,11,2037.0201999594021,2604.7895193136624,666.7895193136624,567.7693193542602,99.02019995940213
64,1967,15,2252.661577071482,2940.4442462337693,973.4442462337693,687.7826691622872,285.66157707148204
65,1989,10,2316.7682107831693,3342.4094736036545,1353.4094736036545,1025.6412628204853,327.76821078316925
66,2028,29,2334.7523431043355,2896.646461244043,868.6464612440432,561.8941181397076,306.7523431043355
67,2065,17,2118.6003731330297,2195.989002788813,130.9890027888132,77.38862965578346,53.600373133029734
68,2095,7,2680.7926254230247,3355.646683720076,1260.646683720076,674.8540582970513,585.7926254230247
69,2124,6,2558.504315283519,3458.731508829682,1334.7315088296818,900.2271935461627,434.5043152835192
70,2163,7,2543.663893743549,2976.650036708887,813.650036708887,432.9861429653379,380.6638937435491
71,2193,27,2736.013220442954,3764.791136224587,1571.7911362245868,1028.7779157816326,543.0132204429542
72,2227,13,2525.027827182897,3217.4446091863374,990.4446091863374,692.4167820034404,298.027827182897
73,2270,4,2811.673333292308,2971.197626113182,701.1976261131822,159.52429282087405,541.6733332923081
74,2298,4,2707.3079525247463,3266.9095965537826,968.9095965537826,559.6016440290364,409.30795252474627
75,2315,4,2701.103613036708,3399.619897743085,1084.619897743085,698.5162847063771,386.1036130367079
76,2346,11,2651.217874932614,2952.777156003517,606.7771560035171,301.5592810709031,305.217874932614
77,2372,19,2515.2665837108284,2917.347421354206,545.3474213542058,402.08083764337744,143.2665837108284
78,2400,8,3024.729724076946,3284.2388761313578,884.2388761313578,259.50915205441197,624.7297240769458
79,2417,1,2565.222805262888,2918.1038050347656,501.1038050347656,352.88099977187767,148.22280526288796
80,2439,1,2855.965226367859,3720.0699653896977,1281.0699653896977,864.1047390218387,416.96522636785903
81,2475,1,3538.342371957405,3945.8874614873857,1470.8874614873857,407.54508952998094,1063.3423719574048
82,2500,18,2568.8839603971783,3385.711971670053,885.7119716700531,816.8280112728748,68.88396039717827
83,2528,28,3227.5312523735683,3982.4418431060076,1454.4418431060076,754.9105907324392,699.5312523735683
84,2556,5,2673.175082675456,3647.1447947301995,1091.1447947301995,973.9697120547435,117.175082675456
85,2595,16,3078.182160266705,3762.5738609761747,1167.5738609761747,684.3917007094697,483.18216026670507
86,2632,16,3316.808002289693,4002.441286195893,1370.441286195893,685.6332839062002,684.8080022896929
87,2668,23,2918.2658586383686,3086.637471447654,418.6374714476542,168.37161280928558,250.26585863836863
88,2693,23,3050.2408151373525,3634.3726495720116,941.3726495720116,584.1318344346591,357.24081513735246
89,2726,23,3171.820591718238,3606.001429618761,880.001429618761,434.1808379005229,445.8205917182381
90,2756,16,3077.236672875312,3315.4487632485752,559.4487632485752,238.21209037326344,321.2366728753118
91,2778,23,3041.0304164920854,3891.537324165386,1113.537324165386,850.5069076733007,263.03041649208535
92,2806,15,3046.37346788672,3733.071363616713,927.0713636167129,686.697895729993,240.37346788671994
93,2844,4,3233.8474060449807,3785.000742240998,941.0007422409981,551.1533361960173,389.84740604498074
94,2873,19,3288.553563544768,3889.0741710179836,1016.0741710179836,600.5206074732155,415.55356354476817
95,2898,21,3118.5107707119996,3197.2254453286173,299.2254453286173,78.71467461661769,220.5107707119996
96,2933,20,3006.9797269527267,3985.2240727068947,1052.2240727068947,978.2443457541681,73.97972695272665
97,2971,5,3370.966432245542,3784.5906578416743,813.5906578416743,413.6242255961324,399.9664322455419
98,2996,22,3190.1803285608507,3767.2184555507406,771.2184555507406,577.0381269898899,194.18032856085074
99,3032,22,3603.616129933367,4147.866072514898,1115.8660725148984,544.2499425815313,571.6161299333671
100,3066,22,3911.733409532815,4143.416382580037,1077.416382580037,231.68297304722182,845.7334095328151
101,3093,22,3516.19971644603,3856.3246934765325,763.3246934765325,340.1249770305026,423.1997164460299
102,3121,7,3585.5696933722647,3975.5402050779576,854.5402050779576,389.97051170569284,464.56969337226474
103,3152,1,3462.185596824214,4188.122921942574,1036.122921942574,725.9373251183601,310.1855968242139
104,3175,8,3543.7480281857697,3635.4268152632612,460.42681526326123,91.6787870774915,368.7480281857697
