Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,32,17,68.12478373637688,666.6045244127009,634.6045244127009,598.479740676324,36.12478373637691
1,59,9,162.16006979447036,564.2172796539628,505.2172796539628,402.05720985949245,103.16006979447036
2,87,1,199.04463396343442,649.0635224559064,562.0635224559064,450.018888492472,112.04463396343442
3,120,16,238.1185844818672,835.6242329907327,715.6242329907327,597.5056485088655,118.11858448186717
4,155,22,238.35466393669884,1050.1243357032658,895.1243357032658,811.769671766567,83.3546639366989
5,187,7,248.1882341631134,962.2330506837573,775.2330506837573,714.0448165206438,61.18823416311341
6,219,18,249.88689042296102,727.8931665323862,508.8931665323862,478.0062761094252,30.886890422961017
7,250,15,313.78871373526823,619.5615051997803,369.5615051997803,305.77279146451207,63.78871373526823
8,288,8,477.71821209362054,1328.9085550839532,1040.9085550839532,851.1903429903326,189.71821209362054
9,320,12,441.396046064112,681.429377082952,361.429377082952,240.03333101884,121.396046064112
10,350,10,498.9462990476769,1116.2646933953588,766.2646933953588,617.3183943476819,148.94629904767692
11,372,0,704.8257802514703,1265.1845938700303,893.1845938700303,560.35881361856,332.8257802514703
12,398,2,508.0409014866745,849.3853023489121,451.3853023489121,341.3444008622376,110.0409014866745
13,436,19,491.5697759577992,665.0114087914416,229.01140879144157,173.44163283364236,55.56977595779921
14,476,21,634.2687587617974,806.4547047620445,330.45470476204446,172.1859460002471,158.26875876179736
15,502,23,687.8520917288799,1250.8840624019492,748.8840624019492,563.0319706730693,185.85209172887994
16,534,6,647.3578404875464,1283.6722281922407,749.6722281922407,636.3143877046944,113.35784048754635
17,564,5,940.7333274346722,1283.505846753243,719.5058467532431,342.77251931857086,376.7333274346722
18,589,20,803.0023364358436,1397.4331566327778,808.4331566327778,594.4308201969342,214.00233643584363
19,616,4,735.0378091196238,1251.092069832584,635.092069832584,516.0542607129602,119.03780911962383
20,638,11,770.4122350842248,1221.9894710029544,583.9894710029544,451.57723591872957,132.4122350842248
