Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,32,17,68.12478373637688,666.6045244127009,634.6045244127009,598.479740676324,36.12478373637691
1,59,9,162.16006979447036,564.2172796539628,505.2172796539628,402.05720985949245,103.16006979447036
2,87,1,199.04463396343442,649.0635224559064,562.0635224559064,450.018888492472,112.04463396343442
3,120,16,238.1185844818672,835.6242329907327,715.6242329907327,597.5056485088655,118.11858448186717
4,155,22,238.35466393669884,1050.1243357032658,895.1243357032658,811.769671766567,83.3546639366989
5,187,7,248.1882341631134,962.2330506837573,775.2330506837573,714.0448165206438,61.18823416311341
6,219,18,249.88689042296102,727.8931665323862,508.8931665323862,478.0062761094252,30.886890422961017
7,250,15,313.78871373526823,619.5615051997803,369.5615051997803,305.77279146451207,63.78871373526823
8,288,8,477.71821209362054,1328.9085550839532,1040.9085550839532,851.1903429903326,189.71821209362054
9,320,12,441.396046064112,681.429377082952,361.429377082952,240.03333101884,121.396046064112
10,350,10,498.9462990476769,1116.2646933953588,766.2646933953588,617.3183943476819,148.94629904767692
11,372,12,579.7113381594755,1140.0701517780353,768.0701517780353,560.3588136185598,207.71133815947553
12,398,0,448.3289181286465,789.6733189908841,391.6733189908841,341.34440086223765,50.32891812864648
13,436,19,491.5697759577992,665.0114087914416,229.01140879144157,173.44163283364236,55.56977595779921
14,476,19,703.2003521124032,875.3862981126503,399.38629811265025,172.1859460002471,227.20035211240315
15,502,15,630.6934341759517,1193.7254048490208,691.7254048490208,563.0319706730692,128.69343417595167
16,534,6,647.3578404875464,1283.6722281922407,749.6722281922407,636.3143877046944,113.35784048754635
17,564,0,581.088007490635,923.8605268092058,359.8605268092058,342.77251931857074,17.08800749063505
18,589,20,803.0023364358436,1397.4331566327778,808.4331566327778,594.4308201969342,214.00233643584363
19,616,18,820.5336158190139,1336.5878765319742,720.5878765319742,516.0542607129603,204.5336158190139
20,638,19,661.8537208837531,1113.4309568024828,475.4309568024828,451.5772359187297,23.853720883753113
