Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,42,5,187.34441853748632,1020.0744796849384,978.0744796849384,,
1,76,21,246.88007490635061,811.6971425198931,735.6971425198931,,
2,114,17,196.28000972289686,970.0323731582541,856.0323731582541,,
3,136,26,186.91168824543144,756.7132675771304,620.7132675771304,,
4,162,11,272.0227249253535,744.4535360019414,582.4535360019414,,
5,193,27,223.01666203960727,1027.8962516226861,834.8962516226861,,
6,223,9,286.81222453417524,1544.607067320895,1321.607067320895,,
7,251,29,384.2403842684342,1177.764708642725,926.764708642725,,
8,282,4,473.5097908724251,1090.5666131393211,808.5666131393211,,
9,317,12,412.80187889597994,1147.2235377649695,830.2235377649695,,
10,355,6,556.6358103115615,1388.2400698270656,1033.2400698270656,,
11,383,18,523.8900280360538,1115.972285487189,732.9722854871891,,
12,420,28,610.9790564433703,1078.8537306480175,658.8537306480175,,
13,452,19,581.0155029444136,1039.3830196793124,587.3830196793124,,
14,477,0,558.9084855189009,1381.491521859488,904.4915218594881,,
15,513,7,711.5673689204749,975.9969324864735,462.9969324864735,,
16,552,25,696.3606594609487,1457.5617227005023,905.5617227005023,,
17,575,14,839.8509014521189,1439.9185782039744,864.9185782039744,,
18,609,8,727.8486432400471,1562.1653695657785,953.1653695657785,,
19,630,15,942.6403684747061,1734.9187286487045,1104.9187286487045,,
20,656,1,910.096438385114,1628.6254529825644,972.6254529825644,,
21,690,20,784.0850678907126,1341.5366268257121,651.5366268257121,,
22,719,24,1003.4819853699,1574.0801743892498,855.0801743892498,,
23,747,13,927.9364529330671,1374.4706093682303,627.4706093682303,,
24,780,16,1029.6116984438029,1321.7540072056718,541.7540072056718,,
25,812,26,920.4665847162157,1810.2334853041639,998.2334853041639,,
26,840,23,1136.0675598575433,1786.8454220290964,946.8454220290964,,
27,876,11,1318.7640455140863,2013.872670118903,1137.872670118903,,
28,901,22,1330.7743594026988,1956.2166029392222,1055.2166029392222,,
29,933,3,1426.5605332682103,1644.367787509202,711.3677875092019,,
30,968,10,1525.4746631013827,1560.942958803319,592.942958803319,,
31,1005,17,1523.555686498567,2005.9300224659773,1000.9300224659773,,
32,1032,27,1075.737855457258,1677.2535300326413,645.2535300326413,,
33,1054,5,1292.7236896497707,2042.1918337208022,988.1918337208022,,
34,1085,28,1251.3370073074539,1819.2004145553065,734.2004145553065,,
35,1114,4,1271.0795976567294,2182.260372530043,1068.2603725300428,,
36,1139,18,1333.2009268772938,1854.2131982488033,715.2131982488033,,
37,1168,2,1505.752868233565,1807.1910874427424,639.1910874427424,,
38,1198,29,1438.95850265139,1590.913938674453,392.913938674453,,
39,1221,19,1495.4922585429322,2510.8307936208084,1289.8307936208084,,
40,1245,7,1537.7729495701406,1785.7862122298534,540.7862122298534,,
41,1269,21,1704.697142519893,2049.233062272827,780.2330622728268,,
42,1303,12,1894.3814335942582,2013.2090398143619,710.2090398143619,,
43,1329,16,2291.4520767290182,2785.3123808636997,1456.3123808636997,,
44,1362,20,2406.2001723807557,3142.8988896322517,1780.8988896322517,,
45,1403,0,1573.3555106241063,1914.0923968313402,511.09239683134024,,
46,1433,6,1768.5294323900662,2625.398150456025,1192.3981504560252,,
47,1474,14,2038.9185782039744,2694.799664987242,1220.799664987242,,
48,1518,13,2453.1331456001335,3407.5219552579165,1889.5219552579165,,
49,1552,25,1732.8922331113197,2471.2713460188515,919.2713460188515,,
50,1584,24,1629.6070170039654,2404.9299377075577,820.9299377075577,,
51,1615,8,1693.0256368125247,2124.124364912365,509.12436491236485,,
52,1652,29,2100.361461323339,2790.1512843854075,1138.1512843854075,,
53,1679,10,1864.776747737708,2151.904597972408,472.9045979724078,,
54,1698,27,2216.788010655605,2531.0379112124706,833.0379112124706,,
55,1725,1,1879.8063306199072,2885.396420262195,1160.396420262195,,
56,1754,9,1890.5613415282671,2230.912407705056,476.912407705056,,
57,1782,3,2310.168533708702,2970.644119934264,1188.644119934264,,
58,1815,2,2153.337109995342,2456.4839391062533,641.4839391062533,,
59,1846,28,2084.4114091229694,2883.0027136992103,1037.0027136992103,,
60,1877,18,2175.4359227707014,3032.5939457476306,1155.5939457476306,,
61,1911,23,2187.795953727651,2869.6083813617925,958.6083813617925,,
62,1941,7,2181.7862122298534,2453.228650280776,512.228650280776,,
63,1972,22,2388.3472108709266,3176.8292969071285,1204.8292969071285,,
64,1999,26,2254.2371446322027,2617.114759167191,618.1147591671911,,
65,2022,12,2196.289988237994,2768.5624256472997,746.5624256472997,,
66,2048,15,2143.4410813015024,2961.3718285020923,913.3718285020923,,
67,2073,5,2328.4153480118216,2690.58620876858,617.58620876858,,
68,2103,17,2453.4882309008394,3024.257886716563,921.257886716563,,
69,2140,11,2405.9116394594266,3366.4604686655553,1226.4604686655553,,
70,2177,10,2711.6522234125655,3631.522866492341,1454.522866492341,,
71,2201,21,2703.332559167729,3348.1619939797574,1147.1619939797574,,
72,2235,8,2521.225435627234,3186.1528238439882,951.1528238439882,,
73,2268,0,2967.5805886386497,3413.2755515897697,1145.2755515897697,,
74,2299,4,3125.2505673220444,3583.404471594397,1284.404471594397,,
75,2328,9,3082.9543032528527,3723.5243618725167,1395.5243618725167,,
76,2352,24,2789.9143529765397,3406.1716044551736,1054.1716044551736,,
77,2381,7,2694.197527939282,2911.847690751963,530.847690751963,,
78,2418,2,2949.930998070029,3398.930998070029,980.9309980700291,,
79,2457,25,3017.5185428079976,3214.784860257277,757.7848602572772,,
80,2486,19,3319.914843642807,3900.3026450308103,1414.3026450308103,,
81,2517,27,3311.8234131270488,3401.8733992458706,884.8733992458706,,
82,2558,26,3430.66807641198,3621.670694195088,1063.670694195088,,
83,2595,6,2648.5929774655115,3213.8422524931443,618.8422524931443,,
84,2621,5,2947.9653065989983,3122.058639338643,501.05863933864293,,
85,2646,14,3369.245363320325,4398.350314236412,1752.3503142364116,,
86,2676,12,2922.2796985869404,3925.545505993697,1249.5455059936971,,
87,2701,16,3595.933130659805,4584.250893325234,1883.2508933252338,,
88,2721,29,3287.3152412447116,4272.9652805588685,1551.9652805588685,,
89,2756,23,3178.193863845982,3515.2665563026685,759.2665563026685,,
90,2784,28,3115.037193895581,3467.062566547162,683.0625665471621,,
91,2822,1,3623.527167487915,3807.3994057404584,985.3994057404584,,
92,2852,7,3635.190624636023,3759.966423571554,907.9664235715541,,
93,2875,15,3587.031480389602,3847.21987367416,972.2198736741602,,
94,2898,3,3752.1209270117356,4472.46598321744,1574.4659832174402,,
95,2924,17,3127.8339457263555,3990.5048379290993,1066.5048379290993,,
