Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,42,5,187.34441853748632,1020.0744796849384,978.0744796849384,,
1,76,21,246.88007490635061,811.6971425198931,735.6971425198931,,
2,114,17,196.28000972289686,970.0323731582541,856.0323731582541,,
3,136,26,186.91168824543144,756.7132675771304,620.7132675771304,,
4,162,11,272.0227249253535,744.4535360019414,582.4535360019414,,
5,193,27,223.01666203960727,1027.8962516226861,834.8962516226861,,
6,223,9,286.81222453417524,1544.607067320895,1321.607067320895,,
7,251,29,384.2403842684342,1177.764708642725,926.764708642725,,
8,282,4,473.5097908724251,1090.5666131393211,808.5666131393211,,
9,317,12,412.80187889597994,1147.2235377649695,830.2235377649695,,
10,355,6,556.6358103115615,1388.2400698270656,1033.2400698270656,,
11,383,18,523.8900280360538,1115.972285487189,732.9722854871891,,
12,420,28,610.9790564433703,1078.8537306480175,658.8537306480175,,
13,452,19,581.0155029444136,1039.3830196793124,587.3830196793124,,
14,477,0,558.9084855189009,1381.491521859488,904.4915218594881,,
15,513,11,611.5224197094387,1045.450468488415,532.450468488415,,
16,552,25,696.3606594609487,1457.5617227005023,905.5617227005023,,
17,575,14,839.8509014521189,1439.9185782039744,864.9185782039744,,
18,609,8,727.8486432400471,1562.1653695657785,953.1653695657785,,
19,630,15,942.6403684747061,1734.9187286487045,1104.9187286487045,,
20,656,1,910.096438385114,1628.6254529825644,972.6254529825644,,
21,690,26,788.3869910099908,1341.5366268257121,651.5366268257121,,
22,719,20,920.5862098458126,1574.0801743892498,855.0801743892498,,
23,747,13,927.9364529330671,1374.4706093682303,627.4706093682303,,
24,780,19,1016.3260459619295,1321.7540072056718,541.7540072056718,,
25,812,4,931.7079780131634,1810.2334853041639,998.2334853041639,,
26,840,18,1077.0084386683309,1786.8454220290964,946.8454220290964,,
27,876,20,1066.4205871222962,1871.1086246048167,995.1086246048167,,
28,901,12,1128.4664810472084,1826.4422435365236,925.4422435365236,,
29,933,29,1063.01538370516,1450.8072542409918,517.8072542409918,,
30,968,13,1566.9432360416135,1602.4115317435499,634.4115317435499,,
31,1005,8,1105.8811181539936,1787.3743359674104,782.3743359674104,,
32,1032,28,1295.3040068058212,1677.2535300326413,645.2535300326413,,
33,1054,0,1192.351002887583,2042.1918337208022,988.1918337208022,,
34,1085,14,1393.9239388587423,1828.1243534140488,743.1243534140488,,
35,1114,26,1304.2655155900068,2340.5102669328853,1226.5102669328853,,
36,1139,15,1234.4410813015024,1854.2131982488033,715.2131982488033,,
37,1168,25,1551.0,1852.4382192091773,684.4382192091773,,
38,1198,5,1336.8524396616783,1590.913938674453,392.913938674453,,
39,1221,1,1375.767567661962,2510.8307936208084,1289.8307936208084,,
40,1245,6,1459.3944961980135,1785.7862122298534,540.7862122298534,,
41,1269,2,1472.3543704964318,1913.5359197529338,644.5359197529338,,
42,1303,2,1559.4156781478075,1721.8276062201035,418.82760622010346,,
43,1329,2,1366.0,2122.8603041346814,793.8603041346814,,
44,1362,27,1443.344944526381,2398.6987172514964,1036.6987172514964,,
45,1403,10,1766.001377407855,1977.0937742391952,574.0937742391952,,
46,1433,10,2162.2475574179184,3019.1162754838774,1586.1162754838774,,
47,1474,29,1542.4470598345904,2429.881086783267,955.8810867832672,,
48,1518,13,1874.7365975057787,2829.1254071635617,1311.1254071635617,,
49,1552,28,1879.0382240656281,2498.3095700844797,946.3095700844797,,
50,1584,5,1963.0962938357484,2484.026231543306,900.026231543306,,
51,1615,25,1672.6281181368956,2124.124364912365,509.12436491236485,,
52,1652,23,1941.6756807189722,2641.7898230620685,989.7898230620685,,
53,1679,23,2053.818622803083,2226.7232207754914,547.7232207754914,,
54,1698,4,1868.20042417552,2421.049999000351,723.0499990003509,,
55,1725,14,1963.4114091229696,2885.396420262195,1160.396420262195,,
56,1754,19,1837.4326075344645,2230.912407705056,476.912407705056,,
57,1782,19,1940.4739726264222,2742.4755862255624,960.4755862255624,,
58,1815,23,1987.9045979724078,2418.1468291109113,603.1468291109113,,
59,1846,9,2028.989070711887,2883.0027136992103,1037.0027136992103,,
60,1877,15,2175.4359227707014,3032.5939457476306,1155.5939457476306,,
61,1911,21,2030.0,2869.6083813617925,958.6083813617925,,
62,1941,21,2146.243757517738,2453.228650280776,512.228650280776,,
63,1972,0,2321.035814781234,3109.5179008174355,1137.5179008174355,,
64,1999,8,2143.2775103749714,2617.114759167191,618.1147591671911,,
65,2022,3,2112.470989825468,2768.5624256472997,746.5624256472997,,
66,2048,3,2307.9423012901134,2961.3718285020923,913.3718285020923,,
67,2073,3,2436.1597444651597,2753.7459532337393,680.7459532337393,,
68,2103,27,2449.389953664941,3020.159609480665,917.159609480665,,
69,2140,7,2315.3767373399332,3366.4604686655553,1226.4604686655553,,
70,2177,7,3008.0980688222057,3927.9687119019814,1750.9687119019814,,
71,2201,2,2418.2786229706,3145.8294348120285,944.8294348120285,,
72,2235,10,2407.7946758439043,3186.1528238439882,951.1528238439882,,
73,2268,25,2364.6643677887564,3013.69496295112,745.69496295112,,
74,2299,1,2661.4927585483606,3119.646662820713,820.6466628207131,,
75,2328,23,2677.721317623047,3318.291376242711,990.2913762427111,,
76,2352,9,2590.644261216476,3274.8670324987393,922.8670324987393,,
77,2381,21,2621.968877658506,2839.619040471187,458.61904047118696,,
78,2418,5,2802.984415268982,3251.984415268982,833.984415268982,,
79,2457,4,2648.3765920900464,2954.2663174492795,497.26631744927954,,
80,2486,28,2699.4759939665346,3366.387801388003,880.387801388003,,
81,2517,8,2598.5843122174847,2907.049986118822,390.04998611882183,,
82,2558,3,3095.7601695923568,3286.7627873754645,728.7627873754645,,
83,2595,19,2675.4114419718985,3183.444102037119,588.4441020371191,,
84,2621,20,2918.1363323459454,3052.472430570063,431.4724305700629,,
85,2646,14,2827.903626869492,4097.544302796305,1451.5443027963047,,
86,2676,20,2893.5982536694632,3832.9830803463974,1156.9830803463974,,
87,2701,13,2802.6366075781752,3989.3177626654297,1288.3177626654297,,
88,2721,2,3204.408829066684,4190.058868380842,1469.058868380842,,
89,2756,16,2978.6229997102723,3393.0726924566866,637.0726924566866,,
90,2784,16,3579.000628930569,3863.0604817785206,1079.0604817785206,,
91,2822,16,3193.747225947955,3377.6194642004984,555.6194642004984,,
92,2852,16,3426.582457093845,3551.3582560293753,699.3582560293753,,
93,2875,25,3255.12761015217,3515.3160034367284,640.3160034367284,,
94,2898,16,3191.2563009581536,3991.4559506707865,1093.4559506707865,,
95,2924,27,3027.5760590097925,3890.2469512125363,966.2469512125363,,
