Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,,waiting time,,lastMileTime
0,32,2,2063.222538,4194.86114,,4162.86114,,2131.638602
1,63,3,1639.538614,3033.527632,,2970.527632,,1393.989018
2,105,0,1445.523032,1810.691087,,1705.691087,,365.168055
3,143,4,785.8763489,3275.209345,,3132.209345,,2489.332996
4,172,1,1603.774074,3981.956813,,3809.956813,,2378.182739
,,,first batch average,3259.249203,,3156.249203,,
5,203,0,3869.127387,4584.799099,,4381.799099,,715.671712
6,235,3,3477.717907,6004.532898,,5769.532898,,2526.814991
7,266,2,4860.873903,6642.766436,,6376.766436,,1781.892533
8,296,4,5169.602123,6110.094016,,5814.094016,,940.491893
9,334,1,5232.675806,7266.060423,,6932.060423,,2033.384617
,,,second batch average,6121.650574,,5854.850574,,
,,,,,,,,
,,,,,overall Average,4505.549889,avg LMT,1675.656716
