Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,,wt,,LastMileTime
0,32,2,2031.222538,4194.86114,,4162.86114,,2163.638602
1,63,3,1576.538614,3033.527632,,2970.527632,,1456.989018
2,105,0,1340.523032,1810.691087,,1705.691087,,470.1680551
3,143,4,642.8763489,3275.209345,,3132.209345,,2632.332996
4,172,1,1431.774074,3981.956813,,3809.956813,,2550.182739
5,203,0,3869.127387,4584.799099,,4381.799099,,715.6717124
6,235,3,3477.717907,6004.532898,,5769.532898,,2526.814991
7,266,4,6333.04796,8114.940494,,7848.940494,,1781.892533
8,296,1,5835.995647,6776.48754,,6480.48754,,940.4918926
9,334,2,4850.550091,6883.934708,,6549.934708,,2033.384617
,,,,,average,4681.194076,,1727.156716
