Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,21,87,101.62257748298549,958.503549380483,937.503549380483,856.8809718974976,80.62257748298543
1,56,35,111.90169943749474,717.7812254160509,661.7812254160509,605.8795259785562,55.9016994374947
2,87,98,131.10215414239988,379.5875661890631,292.5875661890631,248.48541204666324,44.10215414239988
3,122,63,185.52952069707436,848.236846746817,726.236846746817,662.7073260497427,63.529520697074304
4,148,61,226.44743462982075,397.80087054518253,249.80087054518253,171.35343591536179,78.44743462982075
5,185,15,235.91168824543144,1029.9198746012144,844.9198746012144,794.008186355783,50.91168824543138
6,214,95,258.55333881989094,1074.50983275814,860.50983275814,815.956493938249,44.553338819890996
7,247,69,359.44554237496476,978.9138627917558,731.9138627917558,619.4683204167911,112.4455423749647
8,281,49,320.6988664825584,812.3949108026242,531.3949108026242,491.69604432006577,39.6988664825584
9,312,48,383.42128534267636,476.05497251964243,164.05497251964243,92.63368717696608,71.42128534267636
10,344,84,408.0312423743285,715.3893397135721,371.3893397135721,307.3580973392436,64.03124237432849
11,380,75,444.4980619863884,629.4440000331592,249.44400003315923,184.94593804677083,64.4980619863884
12,407,67,468.84658438426493,901.1716935324614,494.1716935324614,432.3251091481965,61.84658438426493
13,445,31,495.2195181179589,805.8060600028255,360.80606000282546,310.58654188486656,50.2195181179589
14,479,99,576.1699542039617,1130.8392250311817,651.8392250311817,554.6692708272201,97.16995420396165
15,512,45,604.7793080379456,764.8105549867837,252.8105549867837,160.0312469488381,92.77930803794561
16,537,97,608.8679344353238,1312.8203475997366,775.8203475997366,703.9524131644127,71.86793443532383
17,567,88,610.1856457633784,1060.0967480936054,493.09674809360536,449.911102330227,43.185645763378375
18,593,10,624.6227766016838,1008.7061008947335,415.7061008947335,384.0833242930497,31.622776601683768
19,623,54,707.504437753292,915.6990582409501,292.6990582409501,208.19462048765809,84.504437753292
20,653,16,750.2933707916424,1275.5485468727543,622.5485468727543,525.2551760811119,97.29337079164236
21,683,48,808.4472000484666,1300.6626000513515,617.6626000513515,492.21540000288496,125.44720004846658
22,713,4,768.5427763079953,1224.6129463476504,511.61294634765045,456.0701700396552,55.54277630799527
23,747,83,825.3390068867355,1266.1575636649184,519.1575636649184,440.8185567781828,78.33900688673555
24,772,70,833.2943716828878,1623.877068179592,851.877068179592,790.5826964967042,61.2943716828878
25,794,59,872.0320446995976,1410.2141700066354,616.2141700066354,538.1821253070378,78.03204469959758
26,826,50,934.0046295304048,1420.3429891114686,594.3429891114686,486.33835958106374,108.00462953040483
