Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
,,,,,928.1525933,531.7418927,396.4107006
0,28,19,74.27094121,83.49048566,55.49048566,9.219544457,46.27094121
1,47,27,89.05948169,707.9560805,660.9560805,618.8965988,42.05948169
2,77,3,226.2548157,1048.507818,971.5078181,822.2530024,149.2548157
3,107,25,224.4137982,805.6478302,698.6478302,581.234032,117.4137982
4,140,12,248.0046295,772.0094005,632.0094005,524.004771,108.0046295
5,170,14,349.0111728,534.6182848,364.6182848,185.6071119,179.0111728
6,203,19,287.1486779,859.6414727,656.6414727,572.4927947,84.14867795
7,238,24,361.5556555,686.3956161,448.3956161,324.8399606,123.5556555
8,265,11,394.4372435,669.1334393,404.1334393,274.6961958,129.4372435
9,295,17,479.5887321,780.6285965,485.6285965,301.0398645,184.5887321
10,329,29,474.1688672,985.9549553,656.9549553,511.7860881,145.1688672
11,354,11,474.6245735,850.0949452,496.0949452,375.4703717,120.6245735
12,381,14,476.7548954,1130.416888,749.4168876,653.6619922,95.75489544
13,418,17,615.6016707,686.7985807,268.7985807,71.19691005,197.6016707
14,450,4,545.1262319,1392.751739,942.7517389,847.6255069,95.12623192
15,487,22,586.6443676,967.5748075,480.5748075,380.9304398,99.64436763
16,513,24,748.7710754,853.7901213,340.7901213,105.0190459,235.7710754
17,536,21,731.601636,1472.045422,936.0454218,740.4437858,195.601636
18,564,16,656.5742945,1534.390904,970.390904,877.8166095,92.57429449
19,591,18,693.6157883,1551.707275,960.7072752,858.091487,102.6157883
20,618,17,757.9954907,1018.918851,400.9188511,260.9233604,139.9954907
21,645,26,856.9669786,1585.140722,940.1407216,728.173743,211.9669786
22,672,25,1057.501561,2032.866108,1360.866108,975.3645472,385.5015609
23,701,12,744.0813185,1155.381695,454.3816953,411.3003769,43.08131846
24,726,22,1064.52031,1563.484236,837.4842361,498.9639266,338.5203096
25,755,13,868.5341358,1409.648726,654.6487263,541.1145905,113.5341358
26,784,4,1106.706001,1945.722687,1161.722687,839.0166864,322.7060008
27,809,29,936.4715655,1928.838937,1119.838937,992.3673715,127.4715655
28,837,15,1032.81624,2080.12756,1243.12756,1047.31132,195.8162404
29,857,18,1098.786962,1784.793522,927.7935221,686.0065597,241.7869624
30,899,8,971.0347139,1761.762227,862.762227,790.7275131,72.03471385
31,926,24,1031.019046,1336.019046,410.0190459,305,105.0190459
32,950,17,1259.270677,1431.897442,481.8974416,172.626765,309.2706766
33,979,13,1290.8878,2046.393591,1067.393591,755.5057908,311.8878003
34,1015,16,1181.075284,1322.895593,307.895593,141.8203088,166.0752841
35,1038,20,1180.337627,1516.911541,478.9115414,336.5739146,142.3376268
36,1067,26,1176.44405,1642.685403,575.6854034,466.2413538,109.4440496
37,1085,20,1421.203807,2252.915897,1167.915897,831.7120896,336.2038072
38,1112,21,1555.305764,2028.648134,916.6481344,473.3423708,443.3057636
39,1142,1,1405.5185,1921.590201,779.5902007,516.0717004,263.5185003
40,1168,1,1532.177155,2173.227075,1005.227075,641.0499201,364.1771547
41,1201,11,1280.22752,1842.377856,641.3778562,562.1503358,79.22752047
42,1231,16,1480.236986,1533.387715,302.3877151,53.15072906,249.236986
43,1256,8,1857.042428,2382.324257,1126.324257,525.2818291,601.0424278
44,1288,16,1586.538444,1843.919485,555.9194846,257.3810405,298.5384441
45,1308,17,1559.321929,1701.564679,393.5646793,142.2427503,251.3219291
46,1344,31,1610.956925,1737.167068,393.1670676,126.2101422,266.9569254
47,1378,31,1504.210142,2084.186866,706.1868659,579.9767237,126.2101422
48,1413,22,1716.660995,1908.298674,495.2986742,191.637679,303.6609952
49,1436,19,1653.101359,2161.149585,725.1495849,508.0482261,217.1013588
50,1468,11,1542.736824,2079.042707,611.0427067,536.3058829,74.73682387
51,1497,31,1985.758632,2332.902694,835.902694,347.1440623,488.7586316
52,1522,6,1635.85078,2027.18823,505.1882298,391.3374503,113.8507795
53,1550,6,1801.103564,2272.724175,722.7241745,471.6206102,251.1035643
54,1585,9,1713.280942,2162.335504,577.3355041,449.0545624,128.2809417
55,1614,9,2063.054562,2900.639782,1286.639782,837.5852195,449.0545624
56,1639,15,1789.096636,2675.538963,1036.538963,886.4423275,150.0966355
57,1673,6,2229.354204,2440.560264,767.5602642,211.2060605,556.3542037
58,1699,18,1840.695222,2610.412702,911.4127022,769.7174806,141.6952215
59,1729,19,2111.205442,2336.187664,607.1876637,224.9822215,382.2054421
60,1773,17,1846.552702,2365.582566,592.5825665,519.0298643,73.55270219
61,1798,21,1991.351408,2562.565029,764.5650288,571.2136203,193.3514085
62,1829,9,2016.975286,2266.791218,437.7912182,249.8159322,187.975286
63,1865,31,2127.631262,2832.600056,967.6000556,704.9687936,262.6312619
64,1895,20,2100.506691,2589.395226,694.3952262,488.8885354,205.5066909
65,1925,1,2011.533231,2339.539328,414.5393281,328.0060975,86.53323061
66,1949,14,2092.22011,2533.99494,584.9949398,441.7748295,143.2201103
67,1981,13,2369.434036,2733.554895,752.5548946,364.1208591,388.4340356
68,2018,14,2226.319466,2360.502177,342.5021775,134.1827113,208.3194662
69,2044,14,2279.934313,2506.855004,462.8550039,226.920691,235.9343129
70,2070,6,2111.400483,2278.929585,208.929585,167.5291019,41.40048309
71,2104,16,2136.062439,2729.919324,625.9193242,593.8568851,32.06243908
72,2134,15,2454.57507,2827.938165,693.9381645,373.3630941,320.5750705
73,2167,22,2660.665879,2767.178789,600.1787889,106.51291,493.6658789
74,2198,8,2285.641314,3272.884952,1074.884952,987.2436376,87.64131446
75,2229,25,2292.560994,3121.725634,892.7256342,829.1646399,63.56099433
76,2261,19,2708.475139,2992.886812,731.8868124,284.4116735,447.475139
