Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,28,4,72.40720662234904,1065.1236357914922,1037.1236357914922,,
1,62,13,243.02486017119307,1279.0217651307612,1217.0217651307612,,
2,95,6,289.98717906570164,1225.2877818794527,1130.2877818794527,,
3,118,15,248.59862173851607,1136.8815468750852,1018.8815468750852,,
4,156,22,233.10382610480494,1096.3135469893505,940.3135469893505,,
5,181,19,283.4158190906073,1140.914028604315,959.914028604315,,
6,214,0,243.27456233660888,1259.2984053086043,1045.2984053086043,,
7,240,26,320.95060222135476,871.0497873884149,631.0497873884149,,
8,274,9,289.13274595042157,1367.2567098862264,1093.2567098862264,,
9,316,29,492.47662734764623,1558.8405478165305,1242.8405478165305,,
10,351,16,577.8149025086315,1446.2921380534453,1095.2921380534453,,
11,376,7,560.7403583411053,1505.3652683214164,1129.3652683214164,,
12,399,25,456.4282160614449,1871.813465006785,1472.813465006785,,
13,430,28,584.3113735276827,1173.2718499965713,743.2718499965713,,
14,455,2,675.7351353998724,1205.679913496718,750.679913496718,,
15,478,24,638.178025958619,1163.0016949103851,685.0016949103851,,
16,502,8,698.0229578391265,1113.9234102117216,611.9234102117216,,
17,529,3,814.2455082906653,1385.0236045523875,856.0236045523875,,
18,558,14,831.2471408816568,1231.5718603811033,673.5718603811033,,
19,585,23,652.6830850360709,1929.2793092171705,1344.2793092171705,,
20,621,18,740.6411300515002,1434.732226765914,813.732226765914,,
21,650,30,1066.0,1398.5206760488736,748.5206760488736,,
22,673,20,878.5480479109447,1723.5891310035308,1050.5891310035308,,
23,707,31,1048.2696880767467,1400.295235702772,693.2952357027721,,
24,744,17,1161.6469801159826,1873.8520067761433,1129.8520067761433,,
25,773,1,1037.3198819612328,1538.0693269250366,765.0693269250366,,
26,797,10,1245.1841139531834,1886.1092265833563,1089.1092265833563,,
27,828,11,1391.3684407206354,2284.1847712164436,1456.1847712164436,,
28,866,21,1128.3909297212845,1863.4742792909014,997.4742792909014,,
29,899,27,1066.083811304387,1420.5180595963916,521.5180595963916,,
30,917,26,1302.6488039654732,1898.8555567028156,981.8555567028156,,
31,946,5,1129.3084831643096,1635.9549966244936,689.9549966244936,,
32,982,12,1737.30788424324,2458.192063567492,1476.192063567492,,
33,1010,4,1393.0641791831258,1812.856776554268,802.856776554268,,
34,1046,22,1702.2128785618486,2385.200433353296,1339.200433353296,,
35,1079,8,1942.3303150598163,2332.9093723580795,1253.9093723580795,,
36,1104,15,1561.3258895161434,2064.413357060307,960.4133570603071,,
37,1139,19,1710.82805720863,1948.230668820213,809.2306688202129,,
38,1163,24,1290.202323839648,2123.6311718917273,960.6311718917273,,
39,1193,28,1508.9905061864993,2201.8869040462887,1008.8869040462887,,
40,1219,2,2169.4425285097464,2535.5955020057977,1316.5955020057977,,
41,1249,6,1502.1797780234433,2230.186095912277,981.1860959122769,,
