Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT
,,,,,1049.879861,
0,28,4,72.40720662,1065.123636,1037.123636,
1,62,13,243.0248602,1279.021765,1217.021765,
2,95,6,289.9871791,1225.287782,1130.287782,
3,118,15,248.5986217,1136.881547,1018.881547,
4,156,22,233.1038261,1096.313547,940.313547,
5,181,19,283.4158191,1140.914029,959.9140286,
6,214,0,243.2745623,1259.298405,1045.298405,
7,240,26,320.9506022,871.0497874,631.0497874,
8,274,9,289.132746,1367.25671,1093.25671,
9,316,29,492.4766273,1558.840548,1242.840548,
10,351,16,577.8149025,1446.292138,1095.292138,
11,376,7,560.7403583,1505.365268,1129.365268,
12,399,25,456.4282161,1871.813465,1472.813465,
13,430,28,584.3113735,1173.27185,743.27185,
14,455,2,675.7351354,1205.679913,750.6799135,
15,478,24,638.178026,1163.001695,685.0016949,
16,502,8,698.0229578,1113.92341,611.9234102,
17,529,24,812.2023238,1541.025299,1012.025299,
18,558,8,793.147029,1285.495271,727.4952706,
19,585,23,652.683085,1929.279309,1344.279309,
20,621,18,740.6411301,1434.732227,813.7322268,
21,650,30,1066,1398.520676,748.520676,
22,673,26,754.0431984,1723.589131,1050.589131,
23,707,28,825.7339625,1436.567086,729.5670857,
24,744,30,1051.527277,1850.725703,1106.725703,
25,773,15,1034.534023,1783.950874,1010.950874,
26,797,22,1141.472688,1971.23866,1174.23866,
27,828,17,1245.64698,2138.463311,1310.463311,
28,866,19,1092.917788,1957.388308,1091.388308,
29,899,18,973.0270221,1420.51806,521.5180596,
30,917,10,1212.332017,1898.855557,981.8555567,
31,946,11,1049.585713,1635.954997,689.9549966,
32,982,11,1237.415348,2092.884179,1110.884179,
33,1010,14,1158.78844,1757.733141,747.7331408,
34,1046,5,1311.158443,2118.987555,1072.987555,
35,1079,3,1364.245508,1859.579057,780.5790573,
36,1104,2,1464.679913,1997.087468,893.0874675,
37,1139,14,1505.400055,1766.402612,627.4026116,
38,1163,3,1553.579057,2124.208534,961.2085343,
39,1193,27,1305.25863,2201.886904,1008.886904,
40,1219,10,1563.78109,1975.152973,756.1529735,
41,1249,27,1362.251932,2230.186096,981.1860959,
42,1283,6,1364.498466,2280.408429,997.4084293,
43,1317,7,1672.692283,2051.216502,734.2165016,
44,1350,16,1552.595656,2045.722096,695.722096,
45,1377,4,1554.341479,2386.138918,1009.138918,
46,1400,14,1590.394328,1991.804361,591.8043607,
47,1435,28,1674.779176,2504.564136,1069.564136,
48,1470,5,1714.730464,2726.400023,1256.400023,
49,1507,29,1601.302704,2640.615492,1133.615492,
50,1536,17,1843.131893,2384.0393,848.0392996,
51,1567,25,1590.021729,2406.739925,839.7399248,
52,1602,8,1842.916998,2062.774289,460.7742891,
53,1629,23,1873.859143,2220.109423,591.109423,
54,1659,20,1822.217646,2517.960553,858.9605527,
55,1686,20,2137.815228,2746.434978,1060.434978,
56,1716,8,2056.032372,3234.341506,1518.341506,
57,1743,16,1944.965525,2923.379373,1180.379373,
58,1771,18,1902.51806,2884.492225,1113.492225,
59,1799,1,1872.171033,2593.011138,794.0111385,
60,1830,1,2600.860558,2852.46342,1022.46342,
61,1867,11,1911.271887,2507.139961,640.1399608,
62,1906,2,2159.314034,2870.734721,964.7347214,
63,1933,20,2040.935166,2798.042103,865.0421034,
64,1955,3,2183.021929,2644.456174,689.4561738,
65,1982,24,2138.185787,2505.880544,523.8805438,
66,2004,1,2353.89427,2881.016427,877.0164268,
67,2034,7,2148.437756,3057.808331,1023.808331,
68,2066,17,2244.118029,2902.921854,836.9218535,
69,2093,24,2276.17478,2980.032192,887.0321921,
70,2123,23,2352.314195,2801.480502,678.4805019,
71,2148,19,2322.186681,2758.095434,610.0954338,
72,2179,4,2244.192024,2806.928561,627.9285607,
73,2214,27,2333.104996,2826.173356,612.1733557,
74,2250,26,2437.768474,2883.83601,633.8360105,
75,2285,22,2324.824616,2970.771872,685.7718715,
76,2314,26,2367.330498,3689.393625,1375.393625,
77,2338,6,2487.110697,3490.058397,1152.058397,
78,2365,10,2603.008403,3248.936231,883.9362307,
79,2394,13,2555.148999,3004.168118,610.1681176,
80,2419,13,3062.413553,3455.925941,1036.925941,
81,2450,15,2762.851402,3063.664928,613.664928,
82,2472,29,2626.304893,3148.530976,676.5309756,
83,2506,15,2729.664928,3540.22434,1034.22434,
84,2534,5,2677.892321,3612.653759,1078.653759,
85,2573,11,2833.491842,3220.815826,647.8158257,
86,2599,3,2874.495916,3723.93197,1124.93197,
87,2624,22,2813.717264,3630.82557,1006.82557,
88,2655,18,3008.951974,3870.402932,1215.402932,
89,2692,27,2919.495055,3777.501258,1085.501258,
90,2727,19,3004.742687,3942.136352,1215.136352,
91,2761,13,2939.249039,3979.53777,1218.53777,
92,2795,17,3153.939781,3681.026221,886.0262209,
93,2836,10,3328.79306,3995.157825,1159.157825,
94,2862,2,3275.358198,3781.833272,919.8332716,
95,2889,30,3137.471326,3609.006061,720.0060606,
96,2910,14,2998.955045,3788.360523,878.3605226,
97,2942,30,3223.53863,3993.925978,1051.925978,
98,2974,14,3200.896452,4028.289846,1054.289846,
99,3009,20,3270.03065,3709.266015,700.2660149,
100,3048,29,3524.627769,3886.076243,838.0762435,
101,3080,11,3346.610788,4313.869211,1233.869211,
102,3107,9,3810.25671,4223.529017,1116.529017,
103,3139,9,3922.737839,4230.796275,1091.796275,
104,3157,25,3455.060397,3887.019117,730.0191171,
105,3190,25,3381.606367,4447.554033,1257.554033,
106,3224,26,3929.028764,5095.957445,1871.957445,
107,3261,1,3397.821051,4149.759461,888.7594611,
108,3285,2,3632.724071,4557.49889,1272.49889,
109,3315,9,3623.058436,4311.98023,996.9802303,
110,3346,27,3704.952264,4823.381572,1477.381572,
111,3377,5,3611.582488,4415.585667,1038.585667,
112,3402,4,3790.785288,4455.820006,1053.820006,
113,3432,8,3641.418242,4357.284037,925.2840368,
114,3458,20,3859.12587,4466.427402,1008.427402,
115,3499,17,3939.033973,4475.721168,976.7211678,
116,3526,15,3803.346354,4580.930072,1054.930072,
117,3569,28,3829.46113,4348.04627,779.0462697,
118,3604,28,3993.04627,4417.098097,813.0980974,
119,3640,3,3907.121695,4312.619886,672.6198861,
120,3660,1,4054.442645,4307.318108,647.3181082,
121,3683,4,3917.623884,5195.079828,1512.079828,
122,3699,22,3811.587744,4649.984848,950.9848483,
123,3733,30,3799.648331,4505.384623,772.3846231,
124,3762,10,4051.326567,4624.538359,862.5383586,
125,3794,29,4121.418547,4532.062571,738.0625713,
126,3818,14,4024.84622,5051.081782,1233.081782,
127,3847,6,4258.166633,4846.38173,999.3817296,
128,3874,18,4296.670084,4885.398375,1011.398375,
129,3907,19,4404.788108,5036.671799,1129.671799,
130,3934,7,4246.673952,4814.316224,880.3162245,
131,3967,8,4392.32492,5159.593575,1192.593575,
132,4003,7,4493.316224,4638.402406,635.4024058,
133,4026,15,4597.896268,5433.996379,1407.996379,
134,4056,31,4342.714143,4824.811299,768.8112987,
135,4087,31,4518.28297,4561.849012,474.8490116,
136,4112,31,4760.482074,5210.693135,1098.693135,
137,4142,31,4921.798051,5894.121042,1752.121042,
138,4170,31,4287.068356,4882.024844,712.0248438,
139,4196,13,4431.314683,5126.092585,930.0925847,
140,4221,3,4447.622036,5387.597286,1166.597286,
141,4249,1,4501.875463,5180.776707,931.7767068,
142,4270,30,4556.48895,5489.611736,1219.611736,
143,4294,5,4454.700882,5500.068209,1206.068209,
144,4318,22,4800.819551,5776.624062,1458.624062,
145,4355,7,4663.425845,5512.031536,1157.031536,
146,4386,25,4586.584147,5147.651719,761.6517187,
147,4417,20,4767.931962,5408.924461,991.9244606,
148,4440,11,4570.613935,4974.367586,534.3675864,
149,4461,6,4947.173837,5647.990504,1186.990504,
150,4492,29,4765.322083,5196.671384,704.6713839,
151,4520,0,4855.095509,5418.62265,898.6226499,
152,4546,0,4995.040087,6018.216025,1472.216025,
153,4580,0,4854.308221,5519.765405,939.7654045,
154,4612,18,4918.4615,5214.956,602.9559997,
155,4647,17,5032.519131,5622.413529,975.4135291,
156,4686,0,5424.708332,5853.420357,1167.420357,
157,4725,27,5067.203228,5264.995524,539.9955238,
158,4758,19,5301.584842,6201.805651,1443.805651,
159,4791,27,5307.948987,6277.050988,1486.050988,
160,4827,10,4855.425341,5619.001244,792.0012438,
161,4870,26,5284.361266,6116.558745,1246.558745,
162,4900,31,5316.472088,6199.58986,1299.58986,
163,4925,4,5333.25725,5710.299634,785.2996343,
164,4958,14,5121.345571,6291.120016,1333.120016,
165,4987,29,5331.073765,6360.147305,1373.147305,
166,5007,13,5346.696924,6119.596014,1112.596014,
167,5027,25,5557.948592,6508.541039,1481.541039,
168,5060,2,5317.503398,5774.30387,714.3038699,
169,5095,8,5354.15205,6045.179087,950.1790873,
170,5123,20,5551.068753,6106.080773,983.0807726,
171,5152,10,5513.663235,6526.609044,1374.609044,
172,5196,17,5477.967513,6243.333653,1047.333653,
173,5229,1,5460.624696,6000.283359,771.2833592,
174,5252,18,5718.374313,6054.268642,802.2686418,
175,5270,11,5469.200904,5745.158675,475.1586754,
176,5304,3,5508.807847,6768.081006,1464.081006,
177,5334,11,5423.274856,6296.954623,962.954623,
178,5370,9,5493.004065,6280.077879,910.0778788,
179,5393,2,5996.954468,7336.576057,1943.576057,
180,5412,9,5793.701454,5963.789987,551.7899873,
181,5438,30,5736.011817,6036.614921,598.6149208,
182,5475,1,6016.443893,6685.617601,1210.617601,
183,5497,0,5984.696877,6814.279904,1317.279904,
184,5523,6,5762.200753,6238.246061,715.2460607,
185,5551,9,5920.542559,6521.725129,970.7251293,
186,5578,15,6135.226166,7094.165684,1516.165684,
187,5607,30,6182.440159,6799.240739,1192.240739,
188,5633,7,5915.001773,6739.157106,1106.157106,
189,5668,26,6177.43567,6765.952268,1097.952268,
190,5700,5,6117.076732,6184.552653,484.5526532,
191,5724,4,5849.219807,6510.521122,786.5211218,
192,5761,6,6345.677497,7181.7441,1420.7441,
193,5779,20,6180.175307,7339.33459,1560.33459,
194,5812,18,6106.96315,6645.32756,833.3275604,
195,5834,31,6183.477822,7322.348837,1488.348837,
196,5868,5,6314.717817,6999.636062,1131.636062,
197,5897,13,6488.467723,6563.093456,666.093456,
198,5943,12,6329.874657,6888.630273,945.6302728,
199,5972,12,6660.971698,7560.558825,1588.558825,
200,6003,12,6636.075035,7174.778107,1171.778107,
201,6051,12,6885.82034,7204.972341,1153.972341,
202,6075,12,6956.320033,7360.173967,1285.173967,
203,6107,17,6381.987899,6739.484489,632.4844886,
204,6141,18,6678.463643,7828.555144,1687.555144,
205,6166,22,6363.040605,6889.946103,723.9461034,
206,6190,29,6429.263149,7224.583813,1034.583813,
207,6214,10,6783.912366,7792.433798,1578.433798,
208,6247,14,6408.320699,6995.306267,748.306267,
209,6284,16,6504.639978,6944.135151,660.1351514,
210,6307,16,6717.124371,7332.667221,1025.667221,
211,6342,16,6778.004587,7406.355604,1064.355604,
212,6374,16,6613.169396,7596.264982,1222.264982,
213,6404,12,6783.41534,7081.836759,677.8367593,
214,6430,13,6816.945775,7375.737514,945.7375143,
215,6471,25,6785.468827,7347.417414,876.417414,
216,6514,22,6886.425832,7439.933765,925.9337646,
217,6541,11,6875.071849,7513.838743,972.8387427,
218,6567,17,6954.716921,8200.503163,1633.503163,
219,6599,12,7038.987306,7783.215123,1184.215123,
220,6632,4,7022.61618,7632.476,1000.476,
221,6656,7,6997.087965,7276.312831,620.3128307,
222,6693,30,7083.383308,7975.624869,1282.624869,
