Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better
657.5397774604936,757.4570516546321,-99.91727419413849,0.0
615.774996302,734.2790523870518,-118.50405608505184,0.0
646.7283545888836,750.631250786774,-103.90289619789041,0.0
603.4251583900705,709.2646851011168,-105.83952671104635,0.0
662.1792214232393,796.6372293201762,-134.45800789693692,0.0
661.1081797138339,777.2851264376502,-116.17694672381629,0.0
627.303146255087,716.2711324881058,-88.96798623301879,0.0
654.2461581449971,757.6411518083245,-103.39499366332734,0.0
589.2267495973038,717.0054649874111,-127.77871539010732,0.0
601.6263462841121,704.013299088481,-102.38695280436889,0.0
622.8974012968359,730.7366472986353,-107.83924600179932,0.0
614.3149648928446,720.0939738672456,-105.779008974401,0.0
592.8828431005916,716.510709615573,-123.6278665149814,0.0
583.4902984354549,672.378326913823,-88.88802847836814,0.0
564.4243004156788,680.1408247037372,-115.7165242880584,0.0
589.9981178749961,722.2298026036865,-132.23168472869042,0.0
579.1990276307329,664.69594909662,-85.49692146588711,0.0
569.6618083968685,651.3960098825657,-81.73420148569721,0.0
693.2918126335472,790.9186994285681,-97.62688679502082,0.0
693.1957236976158,791.7704419458896,-98.57471824827383,0.0
573.0658567550328,679.0941418279092,-106.02828507287643,0.0
585.2737267281284,703.9387030617862,-118.66497633365782,0.0
653.3660967188042,757.1156322490917,-103.74953553028752,0.0
625.2699000160399,723.6087169314259,-98.33881691538602,0.0
650.6138963909443,764.1860287868426,-113.57213239589828,0.0
627.1685340996443,728.4981424257362,-101.32960832609194,0.0
594.1509829156576,705.9128851934558,-111.7619022777983,0.0
612.7077323659588,725.127245156821,-112.4195127908622,0.0
614.4890006355782,722.7243768802779,-108.23537624469964,0.0
602.2983308320512,712.9720249722754,-110.67369414022426,0.0
618.697281466434,726.1511575633897,-107.4538760969554,0.0
