Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better
715.2443187009312,968.5168850320157,-253.27256633108448,0.0
821.3371209630823,983.9957878747398,-162.65866691165752,0.0
791.6589201174451,982.3246598572383,-190.66573973979325,0.0
795.7827127602843,1014.4235644295227,-218.64085166923837,0.0
809.0028784199292,1048.954273298481,-239.9513948785518,0.0
737.7176774003487,973.9600571313264,-236.24237973097763,0.0
795.4310772918748,1032.9499633729667,-237.51888608109198,0.0
756.2325439345628,1038.421361025266,-282.1888170907031,0.0
797.9212244343026,1002.6885707731336,-204.76734633883098,0.0
693.2781062824855,1006.0589392338667,-312.78083295138117,0.0
707.9503201498462,1024.0474999045198,-316.09717975467356,0.0
739.9068922548448,1031.1521926223795,-291.2453003675347,0.0
753.3538912240897,980.31704631848,-226.96315509439034,0.0
797.2410727123495,1032.469793315034,-235.22872060268446,0.0
764.6498446240998,1012.6440723218639,-247.99422769776402,0.0
735.9270772193777,1044.4840560389816,-308.55697881960396,0.0
771.451968831898,1018.5054290398817,-247.0534602079838,0.0
818.1492698259326,1014.4910860785252,-196.3418162525926,0.0
675.3782920487417,950.8525264318723,-275.4742343831306,0.0
717.7597081148889,1008.5284740769005,-290.76876596201157,0.0
759.765918020668,1005.8693964200154,-246.1034783993474,0.0
758.6783226248785,1028.3908189126366,-269.7124962877581,0.0
723.5646163502718,1013.841223139128,-290.27660678885627,0.0
778.5069586299269,1047.2471616726973,-268.7402030427704,0.0
743.3421548202525,1021.2780647637944,-277.9359099435419,0.0
803.0176125693563,1025.8400372340272,-222.82242466467096,0.0
817.8543243781943,1042.9495870480596,-225.0952626698653,0.0
744.318738179617,967.6985955163285,-223.37985733671155,0.0
755.4177472771077,1004.0329281885423,-248.61518091143466,0.0
773.9905675816798,1005.6209713423224,-231.6304037606426,0.0
761.7943959247757,1011.0851674138183,-249.29077148904258,0.0
