Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better,,,,,,,,,
61151.55289,29304.89764,31846.65525,1,,,,,,,,,
58128.83791,26242.63404,31886.20387,1,,,,,,,,,
55124.9231,27915.20491,27209.71819,1,,,,,,,,,
50459.47825,19474.78915,30984.6891,1,,,,,,,,,
52151.21887,24346.65247,27804.5664,1,,,,,,,,,
53410.09982,20814.098,32596.00182,1,,,,,,,,,
61247.97189,28034.40106,33213.57083,1,,,,,,,,,
58768.56047,25572.6886,33195.87187,1,,,,,,,,,
66959.28281,35557.88762,31401.39519,1,,,,,,,,,
59887.3921,27140.22087,32747.17123,1,,,,,Default,Proposed,Difference,%better,better by 
60879.09514,29311.01081,31568.08433,1,,,,Overall Average,56272.43906,25382.89104,30889.54802,100,0.548928544
59590.9913,30907.32773,28683.66356,1,,,,std,5205.902196,4180.807559,2525.43437,,
60130.79393,29337.81203,30792.9819,1,,,,,,,,,
48322.24911,18454.76207,29867.48704,1,,,,,,,,,
48237.37463,22006.96205,26230.41259,1,,,,,,,,,
60196.33615,25870.78023,34325.55592,1,,,,,,,,,
52865.00447,21729.30972,31135.69476,1,,,,,,,,,
60543.07585,26062.52561,34480.55024,1,,,,,,,,,
62004.36164,27996.06977,34008.29186,1,,,,,,,,,
50389.75372,19187.98125,31201.77247,1,,,,,,,,,
51122.96944,25373.83554,25749.1339,1,,,,,,,,,
53824.20626,23699.72336,30124.4829,1,,,,,,,,,
61596.44596,26290.13532,35306.31064,1,,,,,,,,,
51055.38695,21886.85507,29168.53188,1,,,,,,,,,
45848.69048,19834.88708,26013.8034,1,,,,,,,,,
58160.39317,26198.74821,31961.64496,1,,,,,,,,,
60782.94632,31956.57639,28826.36993,1,,,,,,,,,
58704.07396,28567.88893,30136.18503,1,,,,,,,,,
49095.69811,18423.84484,30671.85328,1,,,,,,,,,
57534.00705,23986.22071,33547.78634,1,,,,,,,,,
56272.43906,25382.89104,30889.54802,1,,,,,,,,,
