Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better,,,,,,,,,,
10215.75309,868.4024414,9347.350647,1,,,,,,,,,,
14735.84177,902.5622223,13833.27955,1,,,,,,,,,,
17012.78634,891.7091855,16121.07715,1,,,,,,,,,,
13656.44426,872.3122895,12784.13197,1,,,,,,,,,,
10893.792,843.1273242,10050.66467,1,,,,,,,,,,
13152.31133,838.6084622,12313.70287,1,,,,,,,,,,
19699.05775,905.8462217,18793.21153,1,,,,,,,,,,
10768.02604,862.159836,9905.866209,1,,,,,,,,,,
7628.398204,863.6078305,6764.790373,1,,,,,,,,,,
10166.60485,877.6996922,9288.905153,1,,,,,,,,,,
17609.37414,962.4729259,16646.90122,1,,,,,,Default,Proposed,Difference,%better,better by 
11625.88649,875.0006455,10750.88585,1,,,,,Overall Average,13191.28813,891.3336483,12299.95448,100,0.932430128
14437.84793,906.882678,13530.96526,1,,,,,,,,,,
17498.68338,897.1725946,16601.51079,1,,,,,,,,,,
13185.04621,866.4832941,12318.56291,1,,,,,,,,,,
10885.57507,887.9754941,9997.599572,1,,,,,,,,,,
16857.56728,911.4350816,15946.1322,1,,,,,,,,,,
12584.58949,876.0395365,11708.54996,1,,,,,,,,,,
16142.21493,928.3785724,15213.83635,1,,,,,,,,,,
7734.354066,837.9954448,6896.358622,1,,,,,,,,,,
7127.452877,893.5160443,6233.936833,1,,,,,,,,,,
14022.27424,874.6066629,13147.66758,1,,,,,,,,,,
6763.8101,851.0397326,5912.770367,1,,,,,,,,,,
12853.41408,892.8439753,11960.57011,1,,,,,,,,,,
14414.73042,890.3747161,13524.35571,1,,,,,,,,,,
13962.91685,966.1772166,12996.73963,1,,,,,,,,,,
18343.25565,948.4497118,17394.80594,1,,,,,,,,,,
15961.9079,889.58013,15072.32777,1,,,,,,,,,,
13160.53799,889.1926073,12271.34538,1,,,,,,,,,,
12638.18923,968.3568799,11669.83235,1,,,,,,,,,,
