Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,38,2,242.79257799051214,1174.9025500431665,1136.9025500431665,932.1099720526543,204.7925779905122
1,66,14,121.0,1133.2302109698169,1067.2302109698169,1012.2302109698169,55.0
2,99,11,246.12239802287073,773.4069511817888,674.4069511817888,527.2845531589181,147.1223980228707
3,132,30,225.02150289046077,972.2095648935953,840.2095648935953,747.1880620031345,93.02150289046074
4,166,13,265.74467404327913,1061.4361971852566,895.4361971852566,795.6915231419774,99.74467404327913
5,200,16,298.4123975929862,592.6792832597224,392.6792832597224,294.2668856667362,98.41239759298622
6,227,5,387.1998751560063,918.8538979941675,691.8538979941675,531.6540228381612,160.19987515600633
7,257,8,332.1332150250473,1016.5789762070419,759.5789762070419,684.4457611819946,75.13321502504732
8,278,19,319.2310562561766,1236.9859254886967,958.9859254886967,917.7548692325202,41.231056256176544
9,308,29,383.21303078589506,1157.8122820119725,849.8122820119725,774.5992512260774,75.21303078589506
10,332,27,417.3814968245463,795.5415158641057,463.5415158641057,378.1600190395594,85.38149682454628
11,354,23,515.8054387219416,1199.0974699940764,845.0974699940764,683.2920312721347,161.80543872194164
12,389,12,702.6654268484176,1455.2184150160283,1066.2184150160283,752.5529881676107,313.6654268484176
13,414,22,566.7612516314265,1341.743186904759,927.7431869047591,774.9819352733326,152.7612516314265
14,448,3,523.4519714785505,750.6369181629644,302.63691816296443,227.18494668441394,75.45197147855049
15,478,28,802.54891773044,1366.953914164738,888.9539141647381,564.404996434298,324.54891773044005
16,511,7,884.0120641480648,1443.966526582288,932.966526582288,559.9544624342232,373.01206414806484
17,540,15,926.6574711550263,1498.9589651247695,958.9589651247695,572.3014939697432,386.6574711550263
18,563,10,685.494897852931,1208.2462727913428,645.2462727913428,522.7513749384118,122.49489785293099
19,603,17,769.2077013859466,1300.8551409546894,697.8551409546894,531.6474395687428,166.20770138594662
20,635,26,821.1316738225926,1067.1967058771288,432.1967058771288,246.06503205453623,186.13167382259257
21,665,1,1011.6193878016635,1548.3297379906644,883.3297379906644,536.7103501890009,346.6193878016635
22,694,4,899.8786050079027,1471.3092657183688,777.3092657183688,571.4306607104661,205.8786050079027
23,720,6,894.3932338137005,995.5712946767156,275.57129467671564,101.17806086301516,174.39323381370048
24,745,31,932.4806656698231,1627.9991772854378,882.9991772854378,695.5185116156147,187.4806656698231
25,781,3,931.9436981129056,1305.554458129263,524.5544581292629,373.6107600163573,150.94369811290562
26,811,9,1022.248668634858,1752.9811778336755,941.9811778336755,730.7325091988175,211.24866863485795
27,838,16,1091.7341128031467,1463.175898282379,625.175898282379,371.4417854792323,253.73411280314667
28,876,18,1052.3660965151748,1959.3346736996327,1083.3346736996327,906.9685771844579,176.36609651517483
29,906,27,1065.1540134586621,1325.1097789265586,419.10977892655865,259.9557654678965,159.15401345866212
