Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,38,2,242.79257799051214,1174.9025500431665,1136.9025500431665,932.1099720526543,204.7925779905122
1,66,14,121.0,1133.2302109698169,1067.2302109698169,1012.2302109698169,55.0
2,99,11,246.12239802287073,773.4069511817888,674.4069511817888,527.2845531589181,147.1223980228707
3,132,30,225.02150289046077,972.2095648935953,840.2095648935953,747.1880620031345,93.02150289046074
4,166,13,265.74467404327913,1061.4361971852566,895.4361971852566,795.6915231419774,99.74467404327913
5,200,16,298.4123975929862,592.6792832597224,392.6792832597224,294.2668856667362,98.41239759298622
6,227,5,387.1998751560063,918.8538979941675,691.8538979941675,531.6540228381612,160.19987515600633
7,257,8,332.1332150250473,1016.5789762070419,759.5789762070419,684.4457611819946,75.13321502504732
8,278,19,319.2310562561766,1236.9859254886967,958.9859254886967,917.7548692325202,41.231056256176544
9,308,29,383.21303078589506,1157.8122820119725,849.8122820119725,774.5992512260774,75.21303078589506
10,332,27,417.3814968245463,795.5415158641057,463.5415158641057,378.1600190395594,85.38149682454628
11,354,23,515.8054387219416,1199.0974699940764,845.0974699940764,683.2920312721347,161.80543872194164
12,389,27,668.0140079015433,1420.566996069154,1031.566996069154,752.5529881676106,279.0140079015433
13,414,22,566.7612516314265,1341.743186904759,927.7431869047591,774.9819352733326,152.7612516314265
14,448,3,523.4519714785505,750.6369181629644,302.63691816296443,227.18494668441394,75.45197147855049
15,478,3,698.6354459283458,1263.0404423626437,785.0404423626437,564.4049964342979,220.6354459283458
16,511,12,798.5013043448673,1358.4557667790905,847.4557667790905,559.9544624342232,287.5013043448673
17,540,5,867.1365269110114,1439.4380208807547,899.4380208807547,572.3014939697433,327.1365269110114
18,563,28,684.5935853571232,1207.344960295535,644.344960295535,522.7513749384118,121.59358535712317
19,603,17,769.2077013859466,1300.8551409546894,697.8551409546894,531.6474395687428,166.20770138594662
20,635,26,821.1316738225926,1067.1967058771288,432.1967058771288,246.06503205453623,186.13167382259257
21,665,26,972.0928198444242,1508.8031700334252,843.8031700334252,536.710350189001,307.0928198444242
22,694,28,832.9568278279264,1404.3874885383927,710.3874885383927,571.4306607104663,138.95682782792642
23,720,6,894.3932338137005,995.5712946767156,275.57129467671564,101.17806086301516,174.39323381370048
24,745,6,1198.4853911649195,1894.0039027805342,1149.0039027805342,695.5185116156147,453.4853911649195
25,781,17,1006.5349196909427,1380.1456797073,599.1456797072999,373.6107600163572,225.53491969094273
26,811,10,933.494897852931,1664.2274070517485,853.2274070517485,730.7325091988175,122.49489785293099
27,838,30,885.1205880393665,1256.5623735185986,418.56237351859863,371.4417854792322,47.12058803936645
28,876,8,1058.8879438344693,1965.8565210189272,1089.8565210189272,906.9685771844579,182.8879438344693
29,906,23,1143.0590643700425,1403.014829837939,497.01482983793903,259.9557654678965,237.0590643700425
