Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better
8795.665947896357,927.5280282966286,7868.137919599729,1.0
6601.354412659248,915.5148097143866,5685.839602944861,1.0
6126.900066487587,883.850743454786,5243.049323032801,1.0
5763.180033175759,888.6607901446488,4874.51924303111,1.0
5254.502618676615,932.2421307558527,4322.260487920763,1.0
5526.100619818329,874.4419782069899,4651.658641611339,1.0
8181.817868561721,909.7880980729047,7272.029770488816,1.0
8168.172648254536,885.1307363360388,7283.041911918497,1.0
835.2559749399744,828.7499948559775,6.50598008399686,1.0
6569.815012192986,889.5702763800159,5680.24473581297,1.0
8664.265370926705,933.372628444383,7730.892742482322,1.0
6616.0488691804085,873.6588518751396,5742.390017305269,1.0
4937.190586704573,863.7367385180146,4073.453848186559,1.0
10123.02347966322,931.8551417090632,9191.168337954156,1.0
7355.619303340563,889.0800048938607,6466.539298446703,1.0
7244.713548833406,873.227218046766,6371.48633078664,1.0
7260.714808859043,863.480635828873,6397.23417303017,1.0
4159.084667441996,894.2034474415416,3264.881220000455,1.0
11107.501837595677,918.081342597792,10189.420494997885,1.0
4938.074814364013,856.6558618909506,4081.4189524730623,1.0
2536.316630062249,870.7458874599148,1665.5707426023341,1.0
7117.195892972678,873.6460307176177,6243.54986225506,1.0
5262.083390405078,917.2690035806182,4344.81438682446,1.0
7326.313168591203,915.4148505251404,6410.8983180660625,1.0
3750.8587789925546,896.6714063595235,2854.187372633031,1.0
2743.1844258507545,886.797628255523,1856.3867975952314,1.0
5046.141836588534,923.8117415411848,4122.3300950473495,1.0
5732.839944835726,919.2849262246814,4813.555018611045,1.0
9825.597958749557,894.1566484967929,8931.441310252763,1.0
9358.787674655423,910.408008874115,8448.379665781307,1.0
6430.944073042548,894.7011863166575,5536.242886725892,1.0
