Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better,,,,,,,,,,
7776.98706,884.429464,6892.557596,1,,,,,,,,,,
6990.728801,877.6825613,6113.04624,1,,,,,,,,,,
5211.142729,871.0640913,4340.078637,1,,,,,,,,,,
9241.014275,873.3046881,8367.709587,1,,,,,,,,,,
4134.843237,885.5007341,3249.342503,1,,,,,,,,,,
3128.339001,826.6168582,2301.722142,1,,,,,,,,,,
7990.733174,865.884332,7124.848842,1,,,,,,,,,,
7448.869949,913.5796316,6535.290317,1,,,,,,,,,,
5904.394841,892.6880236,5011.706817,1,,,,,,,,,,
6480.105957,874.8019458,5605.304012,1,,,,,,,,,,
9752.448744,963.5645561,8788.884188,1,,,,,,,,,,
10871.44263,903.6892552,9967.753375,1,,,,,,,,,,
7636.263833,912.6996344,6723.564198,1,,,,,,,6872.575756,891.6278493,5980.947906,1
9121.343082,876.7739514,8244.569131,1,,,,,,,,,,
4738.021093,899.0398357,3838.981257,1,,,,,,,,,,
7052.045989,888.1262515,6163.919738,1,,,,,,,,,,
6457.197645,895.7813679,5561.416277,1,,,,,,,,,,
6968.816732,893.9463733,6074.870359,1,,,,,,,,,,
4855.954969,903.0907495,3952.86422,1,,,,,,,,,,
6481.732009,915.6530801,5566.078929,1,,,,,,,,,,
5829.749348,902.5953488,4927.153999,1,,,,,,,,,,
6267.305901,892.4282515,5374.87765,1,,,,,,,,,,
7668.257884,909.8671551,6758.390729,1,,,,,,,,,,
6359.808715,856.1221468,5503.686568,1,,,,,,,,,,
6454.87053,890.5764187,5564.294112,1,,,,,,,,,,
7595.505922,894.524123,6700.981799,1,,,,,,,,,,
8952.383841,900.2381091,8052.145732,1,,,,,,,,,,
5434.981896,870.1474757,4564.83442,1,,,,,,,,,,
8086.879577,920.1383652,7166.741212,1,,,,,,,,,,
5285.103311,894.2807009,4390.82261,1,,,,,,,,,,
