Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,28,14,33.0,468.71779858068686,440.71779858068686,435.71779858068686,5.0
1,67,33,157.60353193998566,1056.6591475723,989.6591475723001,899.0556156323144,90.60353193998571
2,94,10,233.71399357258383,788.8013740812745,694.8013740812745,555.0873805086907,139.71399357258383
3,130,32,236.3014581273465,707.835126066339,577.835126066339,471.53366793899244,106.3014581273465
4,154,11,222.60029154456998,825.0619085792157,671.0619085792157,602.4616170346458,68.60029154456993
5,189,12,211.47220505424423,741.6089798586337,552.6089798586337,530.1367748043895,22.472205054244228
6,216,22,292.6550715869472,725.9217331246195,509.92173312461955,433.26666153767235,76.6550715869472
7,243,6,344.044544632553,1246.907214145475,1003.9072141454751,902.8626695129221,101.04454463255297
8,272,3,314.5793377120875,962.3794612069815,690.3794612069815,647.800123494894,42.57933771208752
9,297,15,439.1724305201258,1050.4808633099901,753.4808633099901,611.3084327898644,142.17243052012577
10,324,24,417.3005894943864,1000.1256061160135,676.1256061160135,582.8250166216271,93.30058949438637
11,357,25,470.1459234793724,1108.9925404384044,751.9925404384044,638.846616959032,113.14592347937241
12,390,29,493.24727599312246,794.9822590494462,404.98225904944616,301.7349830563237,103.24727599312246
13,416,30,522.3202708800161,688.5279722659627,272.5279722659627,166.20770138594662,106.3202708800161
14,452,18,588.6199107011859,1059.0771351116523,607.0771351116523,470.45722441046644,136.61991070118586
15,485,31,602.3882447266335,1039.1318766206773,554.1318766206773,436.7436318940438,117.3882447266335
16,515,29,668.4046935396698,1543.432121681211,1028.432121681211,875.0274281415411,153.40469353966978
17,559,32,671.472725352096,821.0889009481858,262.0889009481858,149.61617559608987,112.47272535209595
18,583,2,745.6898890527619,1017.6402521707398,434.6402521707398,271.9503631179779,162.68988905276194
19,621,31,627.4031242374328,1479.3209606512505,858.3209606512505,851.9178364138177,6.4031242374328485
20,656,2,927.9503631179778,1233.2371135674528,577.2371135674528,305.286750449475,271.95036311797776
21,687,28,705.02775637732,1507.8035656790203,820.8035656790203,802.7758093017003,18.027756377319974
22,712,7,825.6353818139403,1535.488887827681,823.4888878276811,709.8535060137408,113.63538181394028
23,738,18,1019.6256380374487,1581.3239556421927,843.3239556421927,561.698317604744,281.62563803744865
24,765,11,1051.4000698323937,1886.0233381397181,1121.0233381397181,834.6232683073245,286.4000698323937
25,792,26,1000.0624906127964,1282.2769480737848,490.27694807378475,282.21445746098834,208.0624906127964
26,820,26,977.4198208612879,1638.6739323796967,818.6739323796967,661.2541115184088,157.41982086128792
27,850,24,987.5681649219761,1565.9106240238475,715.9106240238475,578.3424591018714,137.56816492197606
28,879,34,1038.1760032165653,1751.3555037632368,872.3555037632368,713.1795005466715,159.17600321656528
29,916,15,1253.1646482061842,1712.0001307050861,796.0001307050861,458.8354824989019,337.1646482061842
30,944,8,1070.3210196285638,1335.6604249192217,391.66042491922167,265.33940529065785,126.32101962856382
31,966,8,1357.3272287996326,1656.935306127331,690.9353061273309,299.6080773276983,391.3272287996326
32,997,28,1279.1435804692355,1642.936103756892,645.936103756892,363.7925232876564,282.14358046923553
33,1022,22,1179.664200121651,1628.4770787247498,606.4770787247498,448.81287860309885,157.664200121651
