,Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
,0,42,22,111.0651866,460.2470876,418.2470876,349.181901,69.0651866
,1,75,5,136.5223537,375.6980213,300.6980213,239.1756677,61.52235366
,2,105,15,158.3666563,324.9619743,219.9619743,166.5953181,53.36665626
,3,137,13,206.6347614,930.2126771,793.2126771,723.5779156,69.63476143
,4,172,16,357.9516066,1095.41008,923.41008,737.4584734,185.9516066
,5,204,31,295.0933587,1124.637812,920.637812,829.5444533,91.0933587
,6,238,19,302.6606526,833.5514135,595.5514135,530.8907609,64.66065264
,7,267,8,356.4427191,746.7707862,479.7707862,390.3280671,89.4427191
,8,292,27,388.4209521,666.7247429,374.7247429,278.3037908,96.42095208
,9,319,9,423.1393297,729.5573449,410.5573449,306.4180151,104.1393297
,10,347,10,390.2897216,1306.676649,959.6766487,916.386927,43.28972164
,11,384,23,562.1039023,931.1675824,547.1675824,369.0636801,178.1039023
,12,414,7,529.5248891,1140.4275,726.4275,610.9026109,115.5248891
,13,440,29,529.4427191,1242.456043,802.456043,713.0133239,89.4427191
,14,466,6,691.3996451,1611.380623,1145.380623,919.9809781,225.3996451
,15,485,11,594.0183471,1321.052046,836.0520464,727.0336994,109.0183471
,16,506,15,733.1079039,1148.863842,642.8638419,415.755938,227.1079039
,17,529,5,616.2066511,962.2124314,433.2124314,346.0057803,87.20665112
,18,557,22,668.3956911,1000.252588,443.252588,331.8568969,111.3956911
,19,596,3,745.2146105,979.3982991,383.3982991,234.1836886,149.2146105
,20,626,32,910.8385508,1322.785149,696.7851492,411.9465985,284.8385508
,21,665,18,743.7718224,1445.007874,780.0078739,701.2360516,78.77182237
,22,699,20,922.8146555,1386.624962,687.6249615,463.8103061,223.8146555
,23,733,12,822.3588272,1442.455594,709.4555939,620.0967666,89.35882721
,24,757,8,884.4754878,1456.623196,699.623196,572.1477082,127.4754878
,25,786,33,871.3814968,1852.500246,1066.500246,981.1187492,85.38149682
,26,817,30,873,1798.142692,981.1426917,925.1426917,56
,27,854,27,1137.783368,1899.72956,1045.72956,761.9461923,283.7833681
,28,890,34,1297.185461,1727.701431,837.7014309,430.5159695,407.1854614
,29,929,9,1232.506178,2034.000407,1105.000407,801.4942295,303.5061779
,30,954,19,1162,1877.167812,923.1678125,715.1678125,208
,31,984,23,1120.213068,1642.903225,658.9032252,522.6901568,136.2130684
,32,1024,17,1188.073154,1544.280959,520.2809589,356.2078045,164.0731544
,33,1061,14,1823.341787,2383.349823,1322.349823,560.0080357,762.3417869
