,Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery = t.riderReachesRestaurant - t.orderIn
average,,,,,,821.7894019,506.8909694,314.8984325
,0,42,22,111.0651866,460.2470876,418.2470876,349.181901,69.0651866
,1,75,5,136.5223537,375.6980213,300.6980213,239.1756677,61.52235366
,2,105,15,158.3666563,324.9619743,219.9619743,166.5953181,53.36665626
,3,137,13,206.6347614,930.2126771,793.2126771,723.5779156,69.63476143
,4,172,16,357.9516066,1095.41008,923.41008,737.4584734,185.9516066
,5,204,31,295.0933587,1124.637812,920.637812,829.5444533,91.0933587
,6,238,19,302.6606526,833.5514135,595.5514135,530.8907609,64.66065264
,7,267,8,356.4427191,746.7707862,479.7707862,390.3280671,89.4427191
,8,292,27,388.4209521,666.7247429,374.7247429,278.3037908,96.42095208
,9,319,9,423.1393297,729.5573449,410.5573449,306.4180151,104.1393297
,10,347,10,390.2897216,1306.676649,959.6766487,916.386927,43.28972164
,11,384,27,496.6099463,865.6736264,481.6736264,369.0636801,112.6099463
,12,414,7,529.5248891,1140.4275,726.4275,610.9026109,115.5248891
,13,440,9,538.2903861,1251.30371,811.30371,713.0133239,98.2903861
,14,466,23,572.7754653,1492.756443,1026.756443,919.9809781,106.7754653
,15,485,11,594.0183471,1321.052046,836.0520464,727.0336994,109.0183471
,16,506,15,733.1079039,1148.863842,642.8638419,415.755938,227.1079039
,17,529,5,616.2066511,962.2124314,433.2124314,346.0057803,87.20665112
,18,557,8,712.0290295,1043.885926,486.8859264,331.8568969,155.0290295
,19,596,29,737.7956276,971.9793162,375.9793162,234.1836886,141.7956276
,20,626,32,910.8385508,1322.785149,696.7851492,411.9465985,284.8385508
,21,665,18,743.7718224,1445.007874,780.0078739,701.2360516,78.77182237
,22,699,29,826.1416533,1289.951959,590.9519593,463.8103061,127.1416533
,23,733,19,882.2548157,1502.351582,769.3515823,620.0967666,149.2548157
,24,757,22,852.713113,1424.860821,667.8608212,572.1477082,95.713113
,25,786,20,810.5153013,1791.634051,1005.634051,981.1187492,24.51530134
,26,817,30,873,1798.142692,981.1426917,925.1426917,56
,27,854,11,1010.2466,1772.192792,918.1927923,761.9461923,156.2466
,28,890,32,1208.284464,1638.800433,748.8004335,430.5159695,318.284464
,29,929,18,1454.487393,2255.981622,1326.981622,801.4942295,525.4873928
,30,954,15,1071.643529,1786.811342,832.8113418,715.1678125,117.6435294
,31,984,7,1275.893816,1798.583973,814.5839731,522.6901568,291.8938163
,32,1024,34,1170.536685,1526.744489,502.7444893,356.2078045,146.5366848
,33,1061,20,1245.396312,1805.404348,744.404348,560.0080357,184.3963123
,34,1087,34,1319,1589.835744,502.8357436,270.8357436,232
,35,1122,12,1359.693079,1825.737069,703.7370688,466.0439893,237.6930794
