Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,37,6,128.438503924769,1044.5891465594834,1007.5891465594834,916.1506426347144,91.43850392476907
1,76,23,113.05401462729782,486.32201486305337,410.32201486305337,373.26800023575555,37.05401462729782
2,115,28,201.92525524840292,624.526722354233,509.526722354233,422.6014671058301,86.92525524840289
3,150,9,240.82400563727631,1004.1876149349687,854.1876149349687,763.3636092976924,90.82400563727629
4,183,31,238.0272659687904,745.3220520646067,562.3220520646067,507.29478609581633,55.0272659687904
5,220,3,278.6685605754905,445.63262856618127,225.63262856618127,166.96406799069075,58.66856057549052
6,249,16,361.3788236279416,1247.4741909558606,998.4741909558606,886.0953673279191,112.37882362794153
7,283,4,437.74172029546526,658.8864692722384,375.8864692722384,221.14474897677314,154.74172029546526
8,308,21,386.873316146844,839.8159173669103,531.8159173669103,452.9426012200663,78.87331614684399
9,342,11,390.7031826475437,1123.622004891863,781.6220048918631,732.9188222443194,48.70318264754371
10,381,30,505.7798060585125,651.4506679355536,270.4506679355536,145.6708618770411,124.77980605851252
11,418,13,563.7978051961003,1061.1236541120802,643.1236541120802,497.3258489159799,145.79780519610028
12,451,5,540.1066776397819,835.4319220737788,384.43192207377876,295.3252444339969,89.10667763978188
13,486,20,609.0325160272682,1093.4135643766024,607.4135643766024,484.38104834933415,123.03251602726823
14,519,27,666.0136048126159,1444.6136304997463,925.6136304997463,778.6000256871304,147.01360481261588
15,542,3,744.3190549602286,1114.4541654266636,572.4541654266636,370.135110466435,202.31905496022864
16,570,1,644.8131004570723,1191.4802752535843,621.4802752535843,546.667174796512,74.81310045707232
17,601,10,740.7855500400524,1299.767660666144,698.7676606661439,558.9821106260915,139.78555004005239
18,636,34,798.9263637352776,1399.454464659789,763.454464659789,600.5281009245114,162.92636373527762
19,660,33,752.655275079188,1277.2741843838376,617.2741843838376,524.6189093046496,92.65527507918796
20,700,25,808.7841900277793,1318.146536496381,618.146536496381,509.3623464686017,108.78419002777935
21,746,18,922.8756625429287,1598.6603915802161,852.6603915802161,675.7847290372874,176.8756625429287
22,775,32,883.6830253535481,1502.011417067854,727.0114170678539,618.3283917143058,108.68302535354815
23,799,4,922.4908903522847,1590.003437050847,791.003437050847,667.5125466985622,123.49089035228474
24,822,12,904.2192191643778,1150.2273491113372,328.22734911133716,246.00812994695934,82.21921916437782
25,855,0,1141.1275939157215,1386.8632242178817,531.8632242178817,245.7356303021602,286.1275939157215
26,892,19,1120.4425529536911,1401.5990929807729,509.59909298077287,281.15654002708175,228.44255295369112
27,931,8,1027.1353212924366,1684.570489198748,753.570489198748,657.4351679063113,96.13532129243663
28,957,15,1188.8210516756405,2108.410634043775,1151.4106340437752,919.5895823681346,231.82105167564055
29,989,24,1032.0,1571.7416048443922,582.7416048443922,539.7416048443922,43.0
30,1024,5,1038.3178210632764,1548.9742613438234,524.9742613438234,510.65644028054703,14.31782106327637
31,1051,21,1281.867927612304,2034.5697277961483,983.5697277961483,752.7018001838444,230.8679276123039
32,1079,7,1166.0459648691426,1831.0399498043448,752.0399498043448,664.9939849352022,87.04596486914261
33,1109,26,1324.1139233057684,1406.6063472003298,297.60634720032976,82.4924238945614,215.11392330576837
34,1140,2,1414.3446737226732,1984.3174800915385,844.3174800915385,569.9728063688653,274.3446737226732
35,1171,12,1311.356688476182,1448.6519906536419,277.65199065364186,137.29530217745992,140.35668847618194
36,1204,1,1462.835855321476,1997.0886044954975,793.0886044954975,534.2527491740216,258.83585532147595
37,1229,9,1771.1042335197171,2798.4371883109084,1569.4371883109084,1027.3329547911912,542.1042335197171
38,1254,30,1384.587135660447,1971.5283592936146,717.5283592936146,586.9412236331675,130.58713566044707
39,1293,22,1393.1798382909456,2016.783077538466,723.7830775384659,623.6032392475204,100.17983829094555
40,1320,10,1541.8220007122827,1936.8878180136535,616.8878180136535,395.06581730137077,221.82200071228272
41,1348,28,1520.026160801199,2032.6712622115217,684.6712622115217,512.6451014103227,172.026160801199
42,1379,16,1547.0743882928032,2108.6338241497747,729.6338241497747,561.5594358569715,168.07438829280318
43,1406,17,1523.6137747034759,1965.2754098949424,559.2754098949424,441.66163519146653,117.61377470347588
44,1436,31,1612.5106229097842,2348.554099886518,912.5540998865181,736.0434769767339,176.51062290978416
45,1463,26,1790.3606573795942,2628.9606812288666,1165.9606812288666,838.6000238492725,327.36065737959416
46,1496,27,1614.6970934774731,1748.5402853103042,252.54028531030417,133.84319183283105,118.69709347747312
47,1521,34,1795.0602123621743,2245.768543769527,724.7685437695268,450.7083314073525,274.0602123621743
48,1554,0,1669.277925033373,2330.486666657378,776.486666657378,661.2087416240049,115.2779250333731
49,1581,13,1594.0,2410.1482708429885,829.1482708429885,816.1482708429885,13.0
50,1608,18,1903.4657340538831,2412.6464485354904,804.6464485354904,509.1807144816073,295.4657340538831
51,1635,29,1881.375729324136,2305.9461004053032,670.9461004053032,424.5703710811672,246.37572932413605
52,1668,25,1793.2078272313677,1954.0866636269607,286.08666362696067,160.878836395593,125.20782723136767
53,1700,23,1744.2040722106008,2079.496481906973,379.4964819069728,335.29240969637203,44.20407221060077
54,1722,32,1977.344864839691,2400.1095748144,678.1095748143998,422.7647099747089,255.3448648396909
55,1749,5,1794.276925690687,2691.145366433252,942.1453664332521,896.8684407425651,45.276925690686994
56,1777,4,1942.4357881475469,2327.768112252338,550.7681122523381,385.33232410479127,165.43578814754687
57,1811,8,1963.5319638633162,2104.9816015440115,293.9816015440115,141.44963768069533,152.53196386331615
58,1843,7,1960.3882447266335,2866.4478454152418,1023.4478454152418,906.0596006886083,117.3882447266335
59,1866,12,1977.3642671596235,2592.3715841892667,726.3715841892667,615.0073170296432,111.36426715962352
60,1895,11,2032.4372584127027,2534.0526489261915,639.0526489261915,501.6153905134888,137.4372584127027
61,1922,27,2298.5634076752544,2706.9382354989098,784.9382354989098,408.3748278236553,376.56340767525444
62,1953,20,2185.5962166502286,3024.3315741975302,1071.3315741975302,838.7353575473016,232.5962166502286
63,1977,19,2123.731046476197,2567.9618423469924,590.9618423469924,444.2307958707952,146.7310464761972
64,2018,17,2160.562267097574,2269.7410196092233,251.74101960922326,109.17875251164924,142.56226709757402
65,2051,2,2179.763348822559,2717.382172897758,666.3821728977582,537.6188240751994,128.76334882255878
66,2080,25,2240.878836395593,2365.2050202829787,285.2050202829787,124.32618388738547,160.87883639559323
67,2103,3,2195.2659200355147,2976.7324900178783,873.7324900178783,781.4665699823636,92.26592003551468
68,2138,1,2257.2811804099874,2739.6264924013035,601.6264924013035,482.34531199131607,119.28118040998743
69,2165,30,2484.0141062711805,2913.0141062711805,748.0141062711805,429.0,319.0141062711805
70,2188,14,2435.163913223593,2960.187722207529,772.1877222075291,525.0238089839359,247.16391322359323
71,2216,15,2278.09669878504,2743.7360442016407,527.7360442016407,465.63934541660046,62.09669878504019
72,2251,16,2624.899719176145,3722.51896098999,1471.5189609899899,1097.6192418138448,373.899719176145
73,2282,34,2379.082439194738,3077.722546832426,795.7225468324259,698.6401076376878,97.08243919473807
74,2305,22,2368.1981012373,2653.085798409361,348.0857984093609,284.88769717206105,63.19810123729985
75,2333,10,2461.160056179763,2864.546967221755,531.546967221755,403.3869110419919,128.16005617976316
76,2362,23,2620.118189982806,3168.7610610747397,806.7610610747397,548.6428710919336,258.11818998280614
77,2387,0,2670.451935960931,3645.2072898831348,1258.2072898831348,974.7553539222035,283.4519359609312
78,2422,4,2709.1410803072245,3443.056606781491,1021.0566067814912,733.9155264742667,287.14108030722446
79,2450,18,2760.7571399018852,3426.934293517949,976.9342935179488,666.1771536160636,310.75713990188524
80,2482,32,3005.6964769787937,3523.369153483938,1041.3691534839381,517.6726765051444,523.6964769787937
81,2514,29,2572.523499553598,3019.460855342975,505.4608553429748,446.93735578937685,58.52349955359796
82,2541,24,2861.5760440207596,3478.118824369374,937.1188243693741,616.5427803486145,320.5760440207596
83,2573,21,2693.208152801713,3007.6043995986493,434.60439959864925,314.39624679693634,120.20815280171291
84,2609,13,3026.163037672323,3542.68699645836,933.6869964583602,516.5239587860374,417.16303767232284
85,2644,6,3255.464635118009,3996.686599174661,1352.6865991746608,741.2219640566518,611.464635118009
86,2679,11,2776.046380664093,3355.9170559012528,676.9170559012528,579.87067523716,97.0463806640928
