Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,37,6,128.438503924769,1044.5891465594834,1007.5891465594834,916.1506426347144,91.43850392476907
1,76,23,113.05401462729782,486.32201486305337,410.32201486305337,373.26800023575555,37.05401462729782
2,115,28,201.92525524840292,624.526722354233,509.526722354233,422.6014671058301,86.92525524840289
3,150,9,240.82400563727631,1004.1876149349687,854.1876149349687,763.3636092976924,90.82400563727629
4,183,31,238.0272659687904,745.3220520646067,562.3220520646067,507.29478609581633,55.0272659687904
5,220,3,278.6685605754905,445.63262856618127,225.63262856618127,166.96406799069075,58.66856057549052
6,249,16,361.3788236279416,1247.4741909558606,998.4741909558606,886.0953673279191,112.37882362794153
7,283,4,437.74172029546526,658.8864692722384,375.8864692722384,221.14474897677314,154.74172029546526
8,308,21,386.873316146844,839.8159173669103,531.8159173669103,452.9426012200663,78.87331614684399
9,342,3,505.59095329510126,1238.5097755394204,896.5097755394204,732.9188222443191,163.59095329510126
10,381,30,505.7798060585125,651.4506679355536,270.4506679355536,145.6708618770411,124.77980605851252
11,418,13,563.7978051961003,1061.1236541120802,643.1236541120802,497.3258489159799,145.79780519610028
12,451,5,540.1066776397819,835.4319220737788,384.43192207377876,295.3252444339969,89.10667763978188
13,486,20,609.0325160272682,1093.4135643766024,607.4135643766024,484.38104834933415,123.03251602726823
14,519,27,666.0136048126159,1444.6136304997463,925.6136304997463,778.6000256871304,147.01360481261588
15,542,30,840.0268444284843,1210.1619548949193,668.1619548949193,370.135110466435,298.0268444284843
16,570,1,644.8131004570723,1191.4802752535843,621.4802752535843,546.667174796512,74.81310045707232
17,601,4,871.1184925176357,1430.1006031437273,829.1006031437273,558.9821106260916,270.1184925176357
18,636,1,732.260064408871,1332.7881653333823,696.7881653333823,600.5281009245113,96.26006440887102
19,660,5,918.961387083094,1443.5802963877434,783.5802963877434,524.6189093046494,258.961387083094
20,700,25,808.7841900277793,1318.146536496381,618.146536496381,509.3623464686017,108.78419002777935
21,746,21,915.5317079486903,1591.3164369859778,845.3164369859778,675.7847290372875,169.53170794869027
22,775,20,984.8237355496275,1603.1521272639334,828.1521272639334,618.3283917143059,209.8237355496275
23,799,8,924.6065284927499,1592.119075191312,793.119075191312,667.5125466985621,125.60652849274993
24,822,12,904.2192191643778,1150.2273491113372,328.22734911133716,246.00812994695934,82.21921916437782
25,855,25,924.0796641566822,1169.8152944588423,314.81529445884235,245.7356303021602,69.07966415668216
26,892,12,1313.2469584459927,1594.4034984730745,702.4034984730745,281.15654002708175,421.24695844599273
27,931,13,1313.832861703381,1971.2680296096923,1040.2680296096923,657.4351679063113,382.832861703381
28,957,8,1096.588681489582,2016.1782638577165,1059.1782638577165,919.5895823681344,139.5886814895821
29,989,24,1032.0,1571.7416048443922,582.7416048443922,539.7416048443922,43.0
30,1024,24,1232.1465829649865,1742.8030232455335,718.8030232455335,510.65644028054703,208.14658296498646
31,1051,30,1553.5236312851366,2306.225431468981,1255.2254314689808,752.7018001838442,502.5236312851366
32,1079,7,1166.0459648691426,1831.0399498043448,752.0399498043448,664.9939849352022,87.04596486914261
33,1109,7,1407.8277095585347,1490.320133453096,381.3201334530961,82.4924238945614,298.8277095585347
34,1140,25,1358.332315519256,1928.3051218881214,788.3051218881214,569.9728063688653,218.3323155192561
35,1171,12,1367.6214637317096,1504.9167659091695,333.9167659091695,137.29530217745992,196.62146373170958
36,1204,15,1252.0104155366312,1786.2631647106527,582.2631647106527,534.2527491740216,48.01041553663117
37,1229,34,1316.0057469366247,2343.338701727816,1114.338701727816,1027.3329547911912,87.00574693662475
38,1254,15,1328.2495791233862,1915.1908027565537,661.1908027565537,586.9412236331675,74.24957912338618
39,1293,27,1540.267062100879,2163.870301348399,870.8703013483992,623.6032392475202,247.267062100879
40,1320,19,1348.0713376952365,1743.137154996607,423.137154996607,395.06581730137054,28.07133769523648
41,1348,19,1608.3113520382851,2120.956453448608,772.956453448608,512.6451014103229,260.3113520382851
42,1379,4,1573.7434209415044,2135.3028567984757,756.3028567984757,561.5594358569713,194.74342094150438
43,1406,17,1523.6137747034759,1965.2754098949424,559.2754098949424,441.66163519146653,117.61377470347588
44,1436,17,1886.637326461091,2622.680803437825,1186.680803437825,736.0434769767339,450.6373264610911
45,1463,34,1687.7420743875077,2526.3420982367797,1063.3420982367797,838.600023849272,224.74207438750773
46,1496,21,1632.780846612382,1766.624038445213,270.62403844521305,133.84319183283105,136.780846612382
47,1521,19,1904.020887158912,2354.7292185662645,833.7292185662645,450.7083314073525,383.02088715891205
48,1554,7,2000.5209961468777,2661.729737770883,1107.7297377708828,661.2087416240051,446.5209961468777
49,1581,15,1841.0999807766236,2657.2482516196123,1076.2482516196123,816.1482708429887,260.0999807766236
50,1608,33,1700.655275079188,2209.8359895607955,601.8359895607955,509.18071448160754,92.65527507918796
51,1635,33,2371.9077282808207,2796.478099361988,1161.478099361988,424.5703710811672,736.9077282808207
52,1668,13,1785.7489013471065,1946.6277377426995,278.62773774269954,160.878836395593,117.74890134710654
53,1700,24,1798.3259884262548,2133.6183981226272,433.61839812262724,335.2924096963725,98.32598842625475
54,1722,20,1977.344864839691,2400.1095748144,678.1095748143998,422.7647099747089,255.3448648396909
55,1749,18,1802.8516480713452,2699.72008881391,950.72008881391,896.8684407425649,53.85164807134515
56,1777,18,2068.322844967572,2453.6551690723636,676.6551690723636,385.3323241047915,291.3228449675721
57,1811,17,1876.2763356814703,2017.7259733621659,206.72597336216586,141.44963768069556,65.2763356814703
58,1843,18,2378.4512115963507,3284.510812284959,1441.5108122849588,906.059600688608,535.4512115963507
59,1866,24,2065.9849994374576,2680.992316467101,814.9923164671009,615.0073170296432,199.98499943745765
60,1895,25,2191.5299310356377,2693.1453215491265,798.1453215491265,501.6153905134888,296.5299310356377
61,1922,16,2257.4101966249686,2665.7850244486235,743.7850244486235,408.37482782365487,335.41019662496865
62,1953,27,2358.3763683294824,3197.1117258767836,1244.1117258767836,838.7353575473012,405.3763683294824
63,1977,2,2015.9486841883008,2460.179480059096,483.179480059096,444.2307958707952,38.94868418830083
64,2018,2,2423.597090719349,2532.775843230999,514.7758432309988,109.17875251164969,405.5970907193491
65,2051,2,3037.9371813849148,3575.5560054601137,1524.5560054601137,537.618824075199,986.9371813849148
66,2080,33,2418.7816405887424,2543.1078244761284,463.10782447612837,124.32618388738592,338.78164058874245
67,2103,4,2265.339151162004,3046.8057211443675,943.8057211443675,781.4665699823636,162.33915116200387
68,2138,16,2386.766959220874,2869.11227121219,731.1122712121901,482.34531199131607,248.766959220874
69,2165,3,2269.4796630928718,2698.4796630928718,533.4796630928718,429.0,104.47966309287176
70,2188,3,2631.0406301909566,3156.064439174892,968.064439174892,525.0238089839354,443.04063019095656
71,2216,8,2278.09669878504,2743.7360442016407,527.7360442016407,465.63934541660046,62.09669878504019
72,2251,7,2329.9176786277953,3427.53692044164,1176.5369204416402,1097.6192418138448,78.91767862779534
73,2282,17,2398.4989270336855,3097.1390346713733,815.1390346713733,698.6401076376878,116.4989270336855
74,2305,19,2626.286476528347,2911.174173700408,606.1741737004081,284.88769717206105,321.28647652834707
75,2333,20,2685.4088534642683,3088.79576450626,755.7957645062602,403.3869110419919,352.4088534642683
76,2362,14,2567.0390206765533,3115.681891768487,753.6818917684868,548.6428710919336,205.03902067655326
77,2387,14,3236.717600147249,4211.4729540694525,1824.4729540694525,974.7553539222035,849.717600147249
78,2422,23,2576.8709139896837,3310.7864404639504,888.7864404639504,733.9155264742667,154.8709139896837
79,2450,23,3119.053062170707,3785.2302157867703,1335.2302157867703,666.1771536160632,669.0530621707071
80,2482,32,2624.6218777046497,3142.294554209794,660.2945542097941,517.6726765051444,142.6218777046497
81,2514,32,3051.841984229569,3498.7793400189457,984.7793400189457,446.93735578937685,537.8419842295689
82,2541,32,3357.74965564731,3974.2924359959247,1433.2924359959247,616.5427803486145,816.7496556473102
83,2573,15,2699.5740889755875,3013.970335772524,440.97033577252387,314.39624679693634,126.57408897558753
84,2609,33,3192.583755771183,3709.107714557221,1100.1077145572208,516.5239587860378,583.583755771183
85,2644,16,3032.7647103326126,3773.986674389264,1129.986674389264,741.2219640566514,388.7647103326126
86,2679,8,2845.412138980304,3425.282814217464,746.282814217464,579.87067523716,166.412138980304
