Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,36,5,74.3275357934736,333.5282302369878,297.5282302369878,259.2006944435142,38.3275357934736
1,71,15,155.52810183601665,529.3047731251703,458.3047731251703,373.7766712891537,84.52810183601662
2,102,0,226.06449935416657,560.1363479137242,458.1363479137242,334.0718485595576,124.06449935416657
3,132,8,269.0109484676316,838.6538190453296,706.6538190453296,569.642870577698,137.01094846763158
4,170,11,294.4869471069156,1183.1156659766132,1013.1156659766132,888.6287188696977,124.48694710691552
5,197,2,254.55866572463265,886.7841002019242,689.7841002019242,632.2254344772915,57.55866572463265
6,226,13,282.08029957123983,804.8900163898927,578.8900163898927,522.8097168186529,56.080299571239834
7,260,9,455.7600572129054,802.3794450145689,542.3794450145689,346.6193878016635,195.7600572129054
8,295,4,346.0392006206994,1004.2131897755428,709.2131897755428,658.1739891548434,51.039200620699376
9,331,10,346.52417469626005,1181.0449952873344,850.0449952873344,834.5208205910743,15.524174696260047
10,354,6,507.67498169838836,960.1570255410143,606.1570255410143,452.4820438426259,153.67498169838836
11,386,15,636.4086753844975,1609.4256330990074,1223.4256330990074,973.0169577145099,250.40867538449754
12,414,3,488.09453421137084,503.61870890763083,89.61870890763083,15.52417469625999,74.09453421137084
13,447,3,791.0058139043583,1202.835875944516,755.8358759445159,411.8300620401576,344.0058139043583
14,476,0,693.8302091079197,998.5152924316689,522.5152924316689,304.68508332374915,217.8302091079197
15,502,18,717.8703314492291,1010.8549726849088,508.85497268490883,292.98464123567976,215.87033144922907
16,530,12,786.5345980564805,1466.7441245995892,936.7441245995892,680.2095265431087,256.5345980564805
17,554,9,757.9240054530119,1101.682641708161,547.6826417081611,343.7586362551492,203.9240054530119
18,590,18,738.660687473185,1372.7939542239524,782.7939542239524,634.1332667507673,148.66068747318502
19,611,16,830.2008211663451,1137.6711449375994,526.6711449375994,307.47032377125424,219.20082116634512
20,650,14,799.4021418855834,1546.0298938476974,896.0298938476974,746.627751962114,149.40214188558343
21,683,6,776.6482781475453,1596.527537551026,913.527537551026,819.8792594034807,93.64827814754528
22,707,13,915.0624906127964,1705.5484171162352,998.5484171162352,790.4859265034388,208.0624906127964
23,741,8,886.9623239058628,1266.8478329740556,525.8478329740556,379.88550906819273,145.96232390586283
24,770,5,1032.3756848490348,1841.1185364403177,1071.1185364403177,808.7428515912829,262.37568484903477
25,797,19,908.319360400606,1446.9444619322744,649.9444619322744,538.6251015316684,111.319360400606
26,830,4,1144.815819170511,1678.3483861240197,848.3483861240197,533.5325669535086,314.8158191705111
27,863,16,1220.3513677041128,1702.6800937820854,839.6800937820854,482.32872607797253,357.3513677041128
28,887,2,959.7186358507913,1553.651291965944,666.651291965944,593.9326561151527,72.71863585079132
29,922,3,1047.195846576474,1487.127659474791,565.127659474791,439.93181289831705,125.19584657647397
30,949,1,1100.1621645783098,1695.649360074569,746.6493600745689,595.4871954962591,151.16216457830978
31,980,0,1110.4591902028646,1279.148253274541,299.14825327454105,168.6890630716764,130.45919020286465
32,1005,7,1098.3005894943863,1681.643541796032,676.643541796032,583.3429523016457,93.30058949438626
33,1049,19,1106.3149195236283,1928.2078565902516,879.2078565902516,821.8929370666233,57.314919523628305
34,1082,7,1461.246621606574,1833.2278039263254,751.2278039263254,371.98118231975127,379.2466216065741
35,1120,1,1331.4261100242825,2053.5542150028937,933.5542150028937,722.1281049786112,211.42611002428248
36,1148,2,1372.2467804687099,1692.285840584815,544.2858405848151,320.03906011610525,224.24678046870986
37,1181,12,1304.4058345460214,2313.0058543754876,1132.0058543754876,1008.6000198294662,123.40583454602142
38,1212,11,1485.6603734558585,1779.7249922048675,567.7249922048675,294.064618749009,273.66037345585846
39,1237,14,1469.0021551624036,1820.9524357419195,583.9524357419195,351.95028057951595,232.0021551624036
40,1271,7,1720.768938747633,2188.7486391620846,917.7486391620846,467.9797004144516,449.768938747633
41,1305,18,1484.002793274295,1967.8137067518642,662.8137067518642,483.8109134775691,179.00279327429507
42,1337,16,1445.6607589552784,2152.807844079724,815.807844079724,707.1470851244455,108.66075895527842
43,1358,5,1515.2960080664106,2015.648883545307,657.648883545307,500.3528754788963,157.29600806641065
44,1389,13,1727.345071117676,2270.0678364408195,881.0678364408195,542.7227653231434,338.34507111767607
45,1420,17,1589.434353069264,2211.4086290646624,791.4086290646624,621.9742759953983,169.43435306926403
46,1448,17,1874.7551991481769,2625.7179146008148,1177.7179146008148,750.9627154526379,426.75519914817687
47,1473,9,1629.0416611036937,2485.6658494149974,1012.6658494149974,856.6241883113037,156.04166110369374
48,1501,0,1570.5701085237044,1879.803030445029,378.803030445029,309.23292192132453,69.57010852370445
49,1532,14,1910.4190798572397,2487.5542460011857,955.5542460011857,577.135166143946,378.4190798572397
50,1555,1,1719.216393483725,2124.43855477306,569.4385547730599,405.22216128933496,164.21639348372491
51,1582,4,1935.033992697587,2503.634027871698,921.634027871698,568.6000351741109,353.0339926975871
52,1607,10,1917.9035220128585,2651.836080222399,1044.8360802223988,733.9325582095403,310.9035220128585
53,1646,8,1694.2597140480545,2407.4616489865402,761.4616489865402,713.2019349384857,48.25971404805455
54,1676,11,2042.307248085538,2769.400777144902,1093.400777144902,727.0935290593638,366.30724808553805
55,1710,3,2184.0379731624885,2515.941573625032,805.9415736250321,331.90360046254364,474.03797316248847
56,1739,0,1973.7850080392698,2109.9760503291354,370.97605032913543,136.19104228986566,234.78500803926977
57,1773,15,1902.9884610263541,2173.0125340272625,400.0125340272625,270.0240730009084,129.98846102635412
58,1796,19,2528.596751289548,2766.605154502544,970.6051545025439,238.00840321299574,732.5967512895481
59,1820,10,2010.9586357873338,3015.542131570536,1195.5421315705362,1004.5834957832024,190.95863578733383
60,1849,18,2225.3592929239953,2693.181908880086,844.1819088800862,467.8226159560909,376.3592929239953
61,1880,0,2144.0359783809186,3236.476365770546,1356.4763657705462,1092.4403873896276,264.03597838091855
62,1914,17,2006.6098732934597,2885.6149927324764,971.6149927324764,879.0051194390167,92.60987329345971
63,1942,5,2128.7196578417625,2416.7196578417625,474.71965784176246,288.0,186.71965784176246
64,1971,1,2275.7660142772756,2484.1910607568193,513.1910607568193,208.42504647954365,304.76601427727564
65,2008,2,2040.0156211871642,2574.8174536447577,566.8174536447577,534.8018324575935,32.01562118716424
66,2047,7,2613.966230519733,3016.1701588943824,969.1701588943824,402.2039283746494,566.966230519733
67,2068,9,2212.1125785698346,2852.8512148327027,784.8512148327027,640.7386362628681,144.11257856983457
68,2107,6,2298.6037577919597,2855.11611165304,748.1161116530402,556.5123538610806,191.60375779195965
69,2141,6,2427.5066545955538,3034.9488329137866,893.9488329137866,607.4421783182329,286.50665459555375
70,2181,8,2691.432169832584,3290.953645678112,1109.953645678112,599.5214758455281,510.4321698325839
71,2215,12,2486.280297847079,3065.279434288577,850.2794342885768,578.9991364414977,271.28029784707905
72,2245,3,2568.2150986572256,3017.9705877843735,772.9705877843735,449.75548912714794,323.21509865722555
73,2277,19,2566.8395123500636,3349.2390266648413,1072.2390266648413,782.3995143147777,289.8395123500636
74,2307,2,2444.568164921976,2716.8713048230798,409.87130482307975,272.3031399011038,137.56816492197595
75,2337,1,2761.4995532340604,3013.2156631674534,676.2156631674534,251.716109933393,424.4995532340604
76,2368,16,2435.9117073853986,2544.636129664848,176.63612966484789,108.7244222794493,67.91170738539859
77,2391,5,2717.806024188696,3365.8338013711254,974.8338013711254,648.0277771824294,326.80602418869603
78,2425,18,2888.757981036166,3375.959171510902,950.9591715109018,487.201190474736,463.7579810361658
79,2455,16,3029.7947459745956,3918.169104001661,1463.1691040016608,888.3743580270652,574.7947459745956
80,2479,15,2793.0350298931635,3378.1384395567884,899.1384395567884,585.1034096636249,314.0350298931635
81,2508,4,2848.777053218083,3593.1486002293855,1085.1486002293855,744.3715470113025,340.777053218083
82,2539,2,2897.241986123167,3136.511708403275,597.511708403275,239.269722280108,358.24198612316695
83,2578,7,3204.3216935679,3294.9417796415737,716.9417796415737,90.62008607367352,626.3216935679002
84,2612,11,2846.287940667235,3600.041215950335,988.0412159503348,753.7532752830998,234.28794066723503
85,2640,9,3067.7209428075853,3376.9942846914273,736.9942846914273,309.273341883842,427.7209428075853
86,2671,1,3097.7969849826154,3485.0849915100575,814.0849915100575,387.2880065274421,426.7969849826154
87,2698,10,3217.564407569991,3761.9778533995373,1063.9778533995373,544.4134458295462,519.5644075699911
88,2729,13,3036.938305509399,3475.7959133960576,746.7959133960576,438.85760788665857,307.938305509399
89,2767,15,3275.21812097188,3604.606948954858,837.6069489548581,329.388827982978,508.2181209718801
90,2792,3,3234.085901909044,4020.3333184389803,1228.3333184389803,786.2474165299363,442.08590190904397
91,2817,12,3142.2647151314363,3446.6657663779783,629.6657663779783,304.401051246542,325.26471513143633
92,2850,2,3451.5942372746804,3746.831430053639,896.831430053639,295.2371927789586,601.5942372746804
93,2875,17,3344.9296996600906,3666.9762801418588,791.9762801418588,322.04658048176816,469.9296996600906
94,2909,9,3622.5345054292934,4083.421693361438,1174.421693361438,460.88718793214457,713.5345054292934
95,2944,5,3483.821088821935,3649.6945345569293,705.6945345569293,165.87344573499422,539.8210888219351
96,2965,7,3550.2866444812644,4154.764104772383,1189.7641047723828,604.4774602911184,585.2866444812644
97,3006,6,3381.1106447879447,3551.876566446805,545.8765664468051,170.7659216588604,375.1106447879447
98,3036,8,3293.6114379061078,3920.5739567220253,884.5739567220253,626.9625188159175,257.61143790610777
99,3067,18,3391.7705598117436,3979.6523506506846,912.6523506506846,587.881790838941,324.7705598117436
100,3093,1,3713.962688108044,3848.977502110064,755.977502110064,135.0148140020201,620.962688108044
101,3133,13,3414.001779353797,3671.8583286210205,538.8583286210205,257.8565492672237,281.0017793537968
102,3155,14,3434.093174405968,4043.933317394276,888.933317394276,609.8401429883079,279.09317440596806
103,3171,0,3608.8202928057535,4068.789857016257,897.789857016257,459.96956421050345,437.8202928057535
104,3200,14,3549.0250087139348,3844.8780127547925,644.8780127547925,295.85300404085774,349.02500871393477
105,3230,6,3691.4186747869044,4376.672642305517,1146.672642305517,685.2539675186126,461.4186747869044
