Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,42,81,72.4138126514911,144.2608724382353,102.26087243823531,71.84705978674421,30.4138126514911
1,72,89,94.02271554554524,816.9307318242417,744.9307318242417,722.9080162786964,22.022715545545225
2,99,58,141.5440947723653,635.2494725028494,536.2494725028494,493.7053777304841,42.54409477236527
3,133,75,257.66354719804826,847.5999844520968,714.5999844520968,589.9364372540485,124.66354719804826
4,160,78,189.01723625709383,683.0172362570938,523.0172362570938,494.0,29.017236257093828
5,176,41,204.2842712474619,773.553978855376,597.553978855376,569.2697076079141,28.284271247461902
6,212,79,241.1547594742265,824.8755831562329,612.8755831562329,583.7208236820064,29.154759474226466
7,240,40,293.0094331227943,1221.9755250766393,981.9755250766393,928.9660919538451,53.009433122794235
8,263,74,312.2442890089805,882.3293703784196,619.3293703784196,570.0850813694392,49.244289008980445
9,286,64,364.40918313565066,858.4425828162795,572.4425828162795,494.0333996806288,78.40918313565066
10,313,16,327.0,1144.0740480519498,831.0740480519498,817.0740480519498,14.0
11,341,28,404.1585306985525,1066.2046016029874,725.2046016029874,662.0460709044348,63.15853069855257
12,377,26,425.1663783151692,912.7573954596609,535.7573954596609,487.5910171444917,48.1663783151692
13,401,29,442.7252920900501,873.3074561423945,472.30745614239447,430.58216405234435,41.72529209005012
14,441,70,497.3205113613149,958.7205547076501,517.7205547076501,461.40004334633517,56.320511361314914
15,469,69,593.1491039033307,1011.7957329355015,542.7957329355015,418.64662903217084,124.14910390333068
16,491,77,553.3698645180507,1398.8667598405586,907.8667598405586,845.496895322508,62.36986451805069
17,536,46,597.0327780786686,1363.4145367342358,827.4145367342358,766.3817586555672,61.03277807866857
18,568,93,666.6154146165801,806.1360224134214,238.13602241342141,139.52060779684132,98.6154146165801
19,605,87,716.0855526159905,1330.483632040072,725.483632040072,614.3980794240815,111.08555261599054
20,634,72,708.5251635355469,1507.7447829143507,873.7447829143507,799.2196193788038,74.52516353554688
21,661,99,790.4951736552371,825.4808850243088,164.4808850243088,34.98571136907174,129.49517365523707
22,691,38,746.3263047744922,1228.456992451599,537.456992451599,482.13068767710683,55.3263047744922
23,719,55,826.8239305534722,1439.0599961360217,720.0599961360217,612.2360655825495,107.82393055347222
24,751,39,873.5887433657756,1741.2119334661786,990.2119334661786,867.623190100403,122.5887433657756
25,798,59,919.1651765153669,1320.319760186051,522.3197601860511,401.15458367068425,121.16517651536685
26,829,81,931.8834291807966,1438.5687358554624,609.5687358554624,506.68530667466575,102.88342918079661
27,863,79,983.768373343355,1633.6375909556373,770.6375909556373,649.8692176122822,120.76837334335505
28,898,95,1053.0806241927082,2071.6801529575705,1173.6801529575705,1018.5995287648623,155.08062419270823
29,926,53,991.0691939399898,1592.3087468637807,666.3087468637807,601.2395529237909,65.06919393998976
30,952,34,1081.0658746532172,1698.4166663429987,746.4166663429987,617.3507916897815,129.06587465321718
31,978,67,1159.570922782256,1695.705234312492,717.7052343124919,536.1343115302359,181.57092278225605
