Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better
704.9410270450775,1008.2661496267895,-303.325122581712,0.0
818.5943849147845,1011.0816651852795,-192.48728027049492,0.0
677.279683998426,962.2727852290888,-284.9931012306628,0.0
800.7081214194602,1003.2623667324967,-202.55424531303652,0.0
783.8928568465375,989.8971320582647,-206.0042752117272,0.0
704.6594480460527,952.0715230900333,-247.41207504398062,0.0
663.4320947843503,928.7707995492466,-265.3387047648963,0.0
783.6371885853398,1033.918543550277,-250.28135496493724,0.0
701.4733780639906,984.9588159611313,-283.48543789714074,0.0
730.2682956582453,1009.8012513791473,-279.532955720902,0.0
729.5469731144682,931.105024520488,-201.55805140601979,0.0
795.9393928792063,1034.3540581386433,-238.41466525943702,0.0
678.1465126055215,965.7679830106819,-287.6214704051604,0.0
729.0154227320368,993.3174673420986,-264.3020446100618,0.0
781.9156559694413,947.3705115751167,-165.45485560567533,0.0
662.7279906584604,927.410780098207,-264.68278943974667,0.0
668.4209533924244,947.0509419950711,-278.6299886026467,0.0
659.0161984792536,980.3342417202696,-321.31804324101597,0.0
726.7892208713644,908.8960878847474,-182.10686701338307,0.0
680.6089429091818,899.4122763680924,-218.80333345891063,0.0
825.9314384340803,1032.4674047833128,-206.53596634923247,0.0
794.645977032846,1032.4123433661696,-237.76636633332362,0.0
646.2494726504551,930.1155920965592,-283.8661194461041,0.0
695.1749959850745,958.556342243107,-263.3813462580325,0.0
658.9434065416635,922.8166206820376,-263.8732141403741,0.0
715.118652731389,997.0170489772681,-281.8983962458791,0.0
717.9688224286667,989.9022919775674,-271.9334695489007,0.0
761.4021326568314,938.1863417783889,-176.7842091215574,0.0
769.7942989506788,977.4424233511004,-207.64812440042158,0.0
711.898449479712,974.3306080891546,-262.4321586094426,0.0
725.9380463288339,972.4189140786615,-246.48086774982718,0.0
