Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
0,28,28,63.17101079013795,822.8558138499333,794.8558138499333,759.6848030597953,35.171010790137984
1,51,3,141.95603333479312,636.2838597819799,585.2838597819799,494.3278264471868,90.95603333479312
2,79,17,150.16881339463234,345.47370324637154,266.47370324637154,195.3048898517392,71.16881339463234
3,110,27,201.70605214488302,390.62137709233133,280.62137709233133,188.9153249474483,91.70605214488302
4,156,7,313.91770008456933,678.951945053449,522.951945053449,365.03424496887965,157.91770008456933
5,184,14,332.92279879185725,619.4886725451707,435.48867254517074,286.5658737533135,148.92279879185725
6,212,20,444.3617868755532,835.0048464580831,623.0048464580831,390.6430595825299,232.3617868755532
7,242,29,250.2462112512353,1213.4040384010748,971.4040384010748,963.1578271498395,8.246211251235309
8,277,6,392.8835622510803,1028.4085420905826,751.4085420905826,635.5249798395023,115.88356225108032
9,312,25,565.3929754353896,1477.8226987565888,1165.8226987565888,912.4297233211992,253.39297543538964
10,339,19,625.4000698323937,1426.8612354542847,1087.8612354542847,801.461165621891,286.4000698323937
11,360,5,527.6931721925494,1319.4462902792418,959.4462902792418,791.7531180866924,167.69317219254935
12,390,9,675.2367437761131,1326.175296943768,936.175296943768,650.9385531676548,285.23674377611314
13,422,11,744.3429850330235,1493.0218213840985,1071.0218213840985,748.678836351075,322.3429850330235
14,445,23,684.8707985562228,1689.0485716621604,1244.0485716621604,1004.1777731059376,239.87079855622278
15,473,0,839.7764987018661,1713.3255814671106,1240.3255814671106,873.5490827652445,366.7764987018661
16,500,21,752.3667965481989,920.2387715767902,420.2387715767902,167.87197502859135,252.36679654819886
17,526,1,648.2006546627308,1064.8179850751849,538.8179850751849,416.61733041245407,122.20065466273081
18,553,26,685.1362932732715,1170.655602878976,617.655602878976,485.5193096057045,132.13629327327146
19,578,13,776.7586476106135,1132.4846657762798,554.4846657762798,355.72601816566635,198.75864761061348
20,607,24,768.4465855941215,1379.211679554148,772.2116795541481,610.7650939600265,161.44658559412153
21,635,8,845.9834116702069,1526.38476381466,891.3847638146599,680.401352144453,210.98341167020692
22,668,4,988.1562118716424,1804.9364760798321,1136.9364760798321,816.7802642081897,320.1562118716424
23,696,7,773.0,1057.4819853699,361.48198536990003,284.48198536990003,77.0
24,731,27,893.8741845720186,1390.3759469052454,659.3759469052454,496.5017623332268,162.87418457201863
25,758,10,1091.6540124140574,1689.5310900813652,931.5310900813652,597.8770776673077,333.65401241405743
26,787,17,982.3048898517393,1362.8308416605482,575.8308416605482,380.52595180880894,195.3048898517393
27,818,14,969.9802618763371,1256.0431920158433,438.04319201584326,286.0629301395062,151.98026187633707
28,848,12,1167.7889929312764,1507.627189724986,659.627189724986,339.8381967937096,319.7889929312764
29,877,15,1028.7168415173478,1426.5371527132443,549.5371527132443,397.82031119589647,151.7168415173478
30,894,3,1236.1841609426128,1639.0389734991963,745.0389734991963,402.8548125565835,342.18416094261283
31,928,16,1199.0221393170677,1996.889922850154,1068.889922850154,797.8677835330864,271.02213931706774
32,949,18,1229.431809893243,1578.0935370730413,629.0935370730413,348.66172717979816,280.4318098932431
33,982,2,1322.4849482723134,2352.9799749463873,1370.9799749463873,1030.4950266740739,340.48494827231343
34,1015,22,1604.3530351156257,2087.609695700868,1072.609695700868,483.25666058524234,589.3530351156257
35,1044,20,1451.8455590048761,2002.8083526670255,958.8083526670255,550.9627936621494,407.8455590048761
36,1065,7,1300.2743079896316,2139.1604742839627,1074.1604742839627,838.8861662943311,235.27430798963155
37,1092,21,1262.0735135169496,1735.8097270366675,643.8097270366675,473.7362135197179,170.07351351694956
38,1124,1,1456.8663395418648,1797.6903410441064,673.6903410441064,340.8240015022416,332.8663395418648
39,1159,13,1221.1691241694782,1658.917910575563,499.9179105755629,437.7487864060847,62.16912416947821
40,1193,28,1479.2324230411364,1974.8461839477518,781.8461839477518,495.6137609066154,286.23242304113637
41,1227,29,1313.977008456258,2163.0247102963845,936.0247102963845,849.0477018401264,86.97700845625809
42,1263,6,1453.62528688503,2196.2274684061995,933.2274684061995,742.6021815211695,190.62528688502994
43,1294,26,1517.886131772381,2211.88397038573,917.8839703857302,693.9978386133491,223.88613177238108
44,1321,14,1602.3965173913848,2183.984859777991,862.984859777991,581.5883423866062,281.3965173913848
45,1348,9,1554.3201395889407,1955.9281574371903,607.9281574371903,401.6080178482496,206.32013958894072
46,1380,5,1463.6480723029526,2127.010718221458,747.0107182214579,663.3626459185052,83.64807230295264
47,1418,27,1796.4772119956497,2811.1347897035184,1393.1347897035184,1014.6575777078688,378.47721199564967
48,1451,15,1840.486841883009,1973.9034825242722,522.9034825242722,133.41664064126326,389.486841883009
