,"Average WT, anticipation",WT_minimum,Ratio
0,929.6060655,543.2006481,1.711
1,916.865315,542.0614726,1.691
2,870.3830518,506.9522934,1.717
3,917.3839324,528.2800681,1.737
4,943.5080847,549.5127303,1.717
5,936.5265361,529.4161082,1.769
6,900.6627507,531.4088785,1.695
7,858.421734,491.6114252,1.746
8,945.7255828,534.1965363,1.77
9,901.7764621,525.0239803,1.718
10,897.1651465,528.7597849,1.697
11,921.3188239,556.1434153,1.657
12,909.0105084,536.7064827,1.694
13,880.2652795,513.6607585,1.714
14,921.057592,530.3469355,1.737
15,887.511957,511.9632185,1.734
16,870.1274606,508.091419,1.713
17,955.2159547,529.640147,1.804
18,894.9809612,512.8258442,1.745
19,914.8993278,529.5264828,1.728
20,892.8262529,520.700364,1.715
21,939.7854888,543.5198473,1.729
22,845.3810326,484.1525837,1.746
23,842.7089631,484.9777857,1.738
24,908.1511214,528.1428179,1.72
25,932.447067,543.147264,1.717
26,890.0984848,514.9551626,1.728
27,944.8348389,547.1854877,1.727
28,980.5801324,567.5898986,1.728
29,921.9361446,525.6849773,1.754
30,933.691715,548.0185247,1.704
31,861.8099695,498.9974371,1.727
32,919.4155279,555.9518824,1.654
33,891.7890989,517.3587353,1.724
34,860.3812531,505.1848818,1.703
35,908.7072532,521.2325832,1.743
36,874.1520628,503.6935374,1.735
37,896.538703,520.5679828,1.722
38,918.7124466,523.8634247,1.754
39,896.8840248,508.5125859,1.764
40,949.482141,531.5366473,1.786
41,912.7590391,525.0463747,1.738
42,864.7244699,503.5251046,1.717
43,869.9327636,495.5440729,1.756
44,875.297703,515.7208201,1.697
45,892.2435264,518.9949793,1.719
46,887.3270473,511.8761498,1.733
47,869.3360858,505.887836,1.718
48,875.4211212,500.34472,1.75
49,855.0559315,498.267248,1.716
50,914.3631434,527.3904979,1.734
51,902.4090783,533.5304884,1.691
52,848.6410867,485.6509146,1.747
53,926.7741859,554.879074,1.67
54,868.6251758,511.9196437,1.697
55,910.2766558,528.759704,1.722
56,903.1257697,540.3745519,1.671
57,878.0095827,489.8819855,1.792
58,898.3082045,521.855388,1.721
59,901.1371424,509.6943454,1.768
60,900.5277209,540.8197471,1.665
61,886.1721021,505.2810651,1.754
62,861.6048745,503.1396527,1.712
63,869.4349663,501.7642595,1.733
64,900.6795953,527.5266974,1.707
65,908.3839519,541.1632278,1.679
66,916.7124294,542.9142806,1.689
67,944.6309409,543.8123371,1.737
68,915.7643272,520.9267073,1.758
69,909.144309,539.5779513,1.685
70,922.3722922,529.790102,1.741
71,928.791976,540.8751048,1.717
72,872.9338194,523.3226297,1.668
73,895.6838889,519.8125219,1.723
74,853.5952582,486.7157081,1.754
75,880.5212053,515.6784342,1.708
76,895.8321402,517.0389985,1.733
77,841.813888,489.4836085,1.72
78,938.0105554,536.8729279,1.747
79,865.7253933,507.6015157,1.706
80,885.6087842,525.6657454,1.685
81,913.4197223,523.3083375,1.745
82,892.7723727,524.4643144,1.702
83,911.8265519,529.2874721,1.723
84,889.3496799,529.415944,1.68
85,937.6089352,547.2276034,1.713
86,882.5754732,519.3790819,1.699
87,900.5982022,534.7247256,1.684
88,886.8212365,517.1145595,1.715
89,890.3794737,521.4397802,1.708
90,884.5363791,516.8520506,1.711
91,893.4010752,505.0519333,1.769
92,917.1700579,531.0680803,1.727
93,890.8045196,520.1475805,1.713
94,909.6327561,526.1727463,1.729
95,931.1641537,530.7606445,1.754
96,872.1666369,511.6489179,1.705
97,888.6281822,518.0005184,1.715
98,934.7554964,548.57098,1.704
99,899.97269,529.732739,1.699
,,,
,,,
,,,
,,,
,,,
,,,1.804
