,"Average WT, anticipation",WT_minimum,Ratio,,,,,
0,855.1588149,541.7727873,1.578,,,,,
1,849.4832448,539.2738824,1.575,,,,,
2,811.6373546,492.2490191,1.649,,,,,"""gridSize"": 1000, # unit: m"
3,860.8115762,528.5371121,1.629,,,,,"""riderSpeed"":1, # unit m/s"
4,946.2557959,537.9586619,1.759,,,,,"""numOrders"":2000, "
5,821.9492871,492.8388109,1.668,,,,,"""orderLambda"": 30, "
6,833.7989136,504.6086331,1.652,,,,,"""FPT_avg"": 0, "
7,914.8348146,501.5064265,1.824,,,,,"""FPT_sd"":0,"
8,848.973271,527.4316672,1.61,,,,,"""numRiders"": 30,"
9,844.9012811,521.0495706,1.622,,,,,"""numRestaurants"": 20,"
10,842.1423431,526.661564,1.599,,,,,
11,860.166912,534.3350878,1.61,,,,,
12,828.9843903,493.5363263,1.68,,,,,
13,835.6019975,506.5835446,1.649,,,,,
14,883.1568431,509.1961631,1.734,,,,,
15,859.3213542,498.8800629,1.723,,,,,
16,830.730942,507.6329139,1.636,,,,,
17,898.9067806,524.0600251,1.715,,,,,
18,819.5967589,500.4487582,1.638,,,,,
19,868.1254282,500.8448039,1.733,,,,,
20,847.6638041,510.3267549,1.661,,,,,
21,880.8030313,547.1869471,1.61,,,,,
22,883.1372805,540.9448378,1.633,,,,,
23,837.9633509,512.861689,1.634,,,,,
24,817.3283497,498.8002084,1.639,,,,,
25,847.5432692,524.0859126,1.617,,,,,
26,873.6291629,503.8653248,1.734,,,,,
27,874.4276567,538.450274,1.624,,,,,
28,945.752362,511.5275759,1.849,,,,,
29,831.9048394,496.9571283,1.674,,,,,
,,,,,,,,
Average,,,1.665266667,,,,,
