Average Waiting Time_Default(s),Average Waiting Time_Anticipation(s),Difference(s),if Anticipation is better
7280.504396677753,913.3105816417453,6367.193815036007,1.0
5528.029874030046,886.7140635720716,4641.315810457974,1.0
1384.2789485592027,793.1632499049966,591.1156986542061,1.0
5151.160022470852,852.3610365762485,4298.798985894603,1.0
4592.626495350178,850.5556389081908,3742.070856441987,1.0
5879.909746516347,873.0574511641835,5006.852295352163,1.0
6244.435199628668,877.0268751456275,5367.40832448304,1.0
3268.865178371097,828.8676140841974,2439.9975642868994,1.0
3362.684110639401,873.9874510948439,2488.696659544557,1.0
6975.063235685706,921.5622038220176,6053.501031863689,1.0
5103.385670052292,859.6160049705019,4243.76966508179,1.0
3483.7722319485274,824.9014051856778,2658.8708267628494,1.0
5581.636793868754,838.7584822951861,4742.878311573568,1.0
3459.841606560011,842.8159108580232,2617.0256957019874,1.0
5095.003443078417,821.528371881245,4273.475071197172,1.0
3620.396892479061,844.7263190014039,2775.670573477657,1.0
5058.592728307284,848.4199267143127,4210.172801592971,1.0
5081.9766320295585,888.5175630564354,4193.459068973123,1.0
5493.975124672184,838.0999943054554,4655.875130366729,1.0
4234.6877295758,923.6125054408659,3311.0752241349346,1.0
5950.919491852397,867.4565093592521,5083.462982493145,1.0
4630.538967745324,947.1080369730178,3683.430930772306,1.0
5321.6332547782495,856.0267432190712,4465.606511559178,1.0
5255.48602147952,863.8785500750118,4391.607471404508,1.0
4375.795434270745,857.0834764865765,3518.7119577841686,1.0
5891.618245372484,875.5728659183436,5016.045379454141,1.0
4539.216182287233,877.1096414386993,3662.1065408485338,1.0
4155.555549483373,833.2639478470658,3322.291601636308,1.0
4339.667338187076,860.2289328714784,3479.4384053155977,1.0
5993.171942563463,840.1215162433498,5153.050426320113,1.0
4877.8142829507005,862.6484290018367,4015.1658539488635,1.0
